entA,entB
8573,8825
4355,8825
7791,8825
10152,9146
2051,60491
2512,2512
226,230
29979,6184
2170,57698
3939,3945
163,293
1327,6386
6050,6386
1936,7178
4830,4830
5702,5706
5372,5870
22924,5689
5110,7965
29979,5479
1072,60
1072,71
1072,1073
6843,9342
1933,1937
5682,5684
22919,5682
22924,5682
51100,5682
5682,7415
2286,29979
527,5684
5684,5692
1936,1937
10105,10152
5701,5711
27316,3190
10486,71
10313,5780
114569,5780
2947,2949
5864,5877
29979,6782
6386,997
10152,7408
55198,5878
387,396
23647,9146
114569,23647
113146,11345
11345,55738
11345,23786
11345,79876
5684,5687
11135,998
11034,60
11034,71
1073,11034
11034,8887
3382,5862
10133,10890
55611,7323
5912,816
5700,5708
5706,6386
10617,2885
2885,3190
2885,60491
6844,9342
60,71
1073,71
23549,4354
3831,663
1962,71
1962,60
10152,5562
7965,9255
3735,7965
5062,998
29979,7335
1781,83658
10152,5300
10313,6642
57142,6642
1400,1809
1808,1809
2912,29979
3927,5684
3927,55964
23157,4735
5684,7536
10982,22919
22919,22924
5700,5711
1808,56896
55697,883
29979,441518
10486,60
3939,5602
29979,51144
10486,1073
1073,60
30011,5684
114569,203068
10016,311
10342,311
10152,56243
114569,6455
3190,9444
10152,3190
5684,80017
29979,55739
23190,29979
26578,6386
23157,5413
4735,5413
10767,53918
11235,8428
26060,63893
56648,6386
56648,60491
55156,56181
28970,55697
9217,9885
25930,5684
54828,80262
55233,55964
22931,8887
11311,64145
51571,60491
25813,54927
51699,55737
58473,5910
23157,55964
10801,23157
26060,55198
29979,813
55968,7415
23265,9146
23786,51090
51100,7165
51100,56904
11047,51377
498,506
3799,8887
6386,874
23564,55697
10152,9743
5515,55697
11332,816
11332,29979
11332,1410
10213,5713
2512,6386
3251,6386
6252,6386
10152,6386
54585,6386
55964,6386
55577,6386
22924,6386
6386,8618
8573,8825
7791,8825
4355,8825
10152,9146
2051,60491
2512,2512
226,230
29979,6184
2170,57698
3939,3945
163,293
1327,6386
6050,6386
1936,7178
4830,4830
5702,5706
5372,5870
22924,5689
5110,7965
29979,5479
1072,60
1072,71
1072,1073
6843,9342
1933,1937
5682,5684
22919,5682
22924,5682
51100,5682
5682,7415
2286,29979
527,5684
5684,5692
1936,1937
10105,10152
5701,5711
27316,3190
10486,71
10313,5780
114569,5780
2947,2949
5864,5877
29979,6782
6386,997
10152,7408
55198,5878
387,396
23647,9146
114569,23647
113146,11345
11345,23786
11345,55738
11345,79876
5684,5687
11135,998
1073,11034
11034,60
11034,71
3382,5862
11034,8887
10133,10890
55611,7323
5912,816
5700,5708
5706,6386
10617,2885
2885,3190
2885,60491
6844,9342
60,71
1073,71
23549,4354
3831,663
1962,71
1962,60
10152,5562
7965,9255
3735,7965
5062,998
29979,7335
1781,83658
10152,5300
10313,6642
57142,6642
1400,1809
1808,1809
2912,29979
3927,5684
3927,55964
23157,4735
5684,7536
10982,22919
22919,22924
5700,5711
1808,56896
55697,883
29979,441518
10486,60
3939,5602
29979,51144
10486,1073
1073,60
30011,5684
114569,203068
10016,311
10342,311
10152,56243
114569,6455
10152,3190
3190,9444
5684,80017
29979,55739
23190,29979
26578,6386
23157,5413
4735,5413
10767,53918
11235,8428
26060,63893
56648,6386
56648,60491
55156,56181
28970,55697
9217,9885
25930,5684
54828,80262
55233,55964
22931,8887
11311,64145
51571,60491
25813,54927
51699,55737
58473,5910
23157,55964
10801,23157
26060,55198
29979,813
55968,7415
23265,9146
23786,51090
51100,7165
51100,56904
11047,51377
498,506
3799,8887
6386,874
23564,55697
57698,57698
4282,4282
3796,3796
8574,8574
10768,10768
8522,8522
10016,10016
8575,8575
10313,10313
216,216
3251,3251
226,226
6285,6285
3945,3945
5213,5213
5860,5860
2098,2098
5834,5834
2539,2539
3615,3615
87,87
327,327
2670,2670
2752,2752
3958,3958
5702,5702
7414,7414
2781,2781
528,528
191,191
5684,5684
3612,3612
1936,1936
4144,4144
6470,6470
27316,27316
10486,10486
2949,2949
2937,2937
2010,2010
10247,10247
23647,23647
60,60
5631,5631
5706,5706
71,71
79026,79026
8514,8514
816,816
817,817
10540,10540
1400,1400
1974,1974
9961,9961
5050,5050
10982,10982
22919,22919
1808,1808
7360,7360
1073,1073
30011,30011
80318,80318
2947,2947
6455,6455
3190,3190
51181,51181
26086,26086
84959,84959
10342,10342
64853,64853
10133,10133
5413,5413
84245,84245
84056,84056
65991,65991
60491,60491
54585,54585
57142,57142
56474,56474
54438,54438
10152,10152
55964,55964
51466,51466
55577,55577
26060,26060
23549,23549
29979,29979
10458,10458
51100,51100
1410,1410
7415,7415
10313,57142
22895,5864
4738,9040
11034,71
26060,55198
2534,51517
51100,56904
2170,57698
10152,9743
10767,53918
11332,1410
11332,29979
10213,5713
2512,6386
3251,6386
6050,6386
1327,6386
6386,997
5706,6386
6252,6386
26578,6386
56648,6386
54585,6386
10152,6386
55577,6386
22924,6386
6386,8618
6386,874
4355,8825
8573,8825
7791,8825
23265,9146
2051,60491
10016,311
10313,5780
10617,2885
3939,3945
2512,2512
29979,6184
226,230
5702,5706
5864,5877
5372,5870
22924,5689
5110,7965
29979,5479
6843,9342
1933,1937
5682,5684
527,5684
5684,5692
5684,5687
3927,5684
5684,7536
30011,5684
5684,80017
25930,5684
1936,1937
1936,7178
5701,5711
10486,71
10486,60
2947,2949
10152,7408
55198,5878
58473,5910
23647,9146
114569,23647
1072,60
1073,60
11034,60
60,71
11034,71
1073,11034
3382,5862
55611,7323
387,396
27316,3190
5700,5708
5700,5711
2885,3190
2885,60491
163,293
6844,9342
1072,71
1073,71
11135,998
1962,71
1962,60
5515,55697
55697,883
28970,55697
23564,55697
7965,9255
3831,663
10152,5562
5062,998
29979,7335
11332,816
5912,816
10313,6642
23157,4735
10801,23157
1400,1809
1808,1809
2912,29979
3735,7965
22919,5682
10982,22919
22919,22924
1808,56896
29979,441518
3939,5602
29979,51144
9217,9885
10486,1073
1072,1073
114569,203068
10152,56243
114569,6455
114569,5780
11034,8887
22931,8887
113146,11345
29979,55739
11345,55738
26060,55198
23190,29979
10342,311
10133,10890
3190,9444
23157,5413
4735,5413
11345,23786
23786,51090
26060,63893
56648,60491
51571,60491
55156,56181
11345,79876
11311,64145
54828,80262
1781,83658
57142,6642
51100,56904
10152,9146
10105,10152
10152,5300
10152,3190
51699,55737
55964,6386
23157,55964
3927,55964
55233,55964
23549,4354
29979,813
2286,29979
29979,6782
22924,5682
51100,5682
51100,7165
25813,54927
11047,51377
11235,8428
498,506
3799,8887
5682,7415
55968,7415
2475,5861
3840,7536
6342,7536
1213,7536
3184,7536
1471,1471
3708,7416
3313,7416
3313,3708
10105,3708
10133,10133
6622,6622
6622,6622
6622,6622
6717,6717
310,6717
2885,9901
481,6521
481,6521
6176,6181
2982,2983
2983,2983
29978,3178
28958,55210
10059,56947
10980,5594
213,213
351,351
128866,25978
128866,128866
128866,27183
27183,27183
25978,25978
10617,2885
10617,8027
25978,26227
10617,128866
128866,54862
128866,91782
2670,4747
6285,6285
10313,65009
23786,5354
2937,2937
1398,5706
55156,56181
114569,65009
114569,2571
10133,10133
2670,4747
6285,6285
10313,65009
23786,5354
2937,2937
1398,5706
55156,56181
114569,65009
114569,2571
10133,10133
2670,4747
6285,6285
10313,65009
23786,5354
2937,2937
1398,5706
114569,2571
114569,65009
55156,56181
10133,10133
54585,54585
1785,1785
1785,2885
1785,51429
5566,5577
6285,6285
51100,56904
27316,27316
22919,22919
22919,22924
55577,55577
56904,56904
10342,10342
22924,22924
10540,22924
5701,5711
11047,51377
51100,56904
11047,51377
22924,22924
22919,22924
5701,5711
54585,54585
22919,5576
22919,22924
22919,22919
5701,5711
22924,22924
10540,22924
51100,56904
54585,54585
1785,2885
1785,51429
1785,1785
5566,5577
6285,6285
51100,56904
27316,27316
22919,22924
22919,22919
55577,55577
56904,56904
10342,10342
22924,22924
10540,22924
5701,5711
11047,51377
5818,6386
5818,6386
5818,6386
23513,8874
10059,23513
1501,23513
23513,2977
23513,53616
1499,23513
23513,8671
1501,1739
1739,2904
1739,9922
1501,55914
23513,87
23513,81
1739,3739
10938,10938
6396,6396
6396,6396
1173,8349
26060,5868
4282,4282
23647,51100
10105,23647
23647,23647
23647,65009
23647,27236
23647,6386
4259,65991
23780,4259
4259,4259
347,4259
7965,9255
4259,9554
116841,4259
29978,5708
5700,5708
149371,7965
5700,5711
10493,5354
6635,6636
54472,5689
10857,439
5062,998
283578,54918
1962,54918
27316,54918
10313,5780
6386,874
10313,7781
10313,22908
2512,6386
10980,51138
23780,94097
4741,7431
10152,5682
1808,56896
22919,5682
1809,56896
5594,5682
327,327
10484,7536
51100,6642
51100,51100
1073,5862
10982,10982
10982,22919
10982,22924
51466,7791
7408,7791
7791,84816
54769,5910
51056,7791
60491,7295
5524,60491
5050,60491
387,9181
23786,347
23786,5354
27316,3190
27316,27316
3187,3187
3945,3945
5682,5833
10152,3190
3190,5605
3190,3190
6386,6642
4144,4144
55611,7323
163,408
10226,128866
10226,6642
10226,5780
10226,6643
54472,80262
57471,84816
25813,84303
2937,2937
84959,9228
5689,84959
84959,84959
10342,3927
3927,9146
29978,3927
6470,6470
4893,5910
4893,9610
11140,5706
5706,6386
5702,5706
5706,5706
5705,5706
3208,7381
1962,51566
283578,55967
29978,5730
10486,10486
6652,6652
5518,5524
80212,80212
8575,8575
1962,8575
10342,9146
10342,10342
115827,5877
3735,7965
114569,2571
114569,6455
114569,8803
114569,23647
51100,56904
114569,51100
10133,6386
10133,9255
10133,10133
114569,65009
3612,3612
1073,60
27236,9522
65009,9522
23647,9522
5780,9522
10213,5713
126298,81631
1457,1457
11235,2193
11135,998
5689,5692
25801,5692
5692,9146
3208,56005
5864,5877
1312,2010
5354,91663
9255,9456
80221,9143
65009,9143
10226,9143
51100,9143
4354,9143
27236,9143
1962,9143
22924,22924
22919,22924
22924,6386
10152,5300
10105,10152
10152,56243
10152,10152
10152,2280
10152,9228
10152,112574
10152,5062
10152,23114
51181,51181
10767,53918
9961,9961
5701,5711
80318,80318
10152,51517
51517,5300
51517,8522
282974,9146
6386,80318
221184,51517
816,817
816,816
5912,816
816,818
11140,816
149371,56243
51100,8723
10980,53358
51699,55737
112936,55737
5701,5708
3251,6386
3251,3251
3831,663
23549,23549
23549,4354
5594,8682
4722,8834
192683,23647
192683,6455
392,6455
3190,9444
273,5530
51286,56947
10152,5530
5887,7316
28227,9146
25801,83451
51100,7163
10313,57142
2316,53918
60484,6396
5689,8396
60682,64744
11345,55738
4355,8825
493856,9854
23780,493856
493856,63908
1962,493856
112755,91452
2912,91452
55198,5878
26060,55198
817,818
23111,5573
63908,9342
112755,63908
63908,6804
10152,9892
5129,9135
7965,9135
10152,9135
7360,7360
11345,8887
5887,8887
11034,8887
5372,5870
7316,8887
5333,9146
1915,23170
26060,63893
2949,2949
2947,2949
1808,1808
63908,6857
663,6857
1808,1809
10105,6856
6386,6856
2010,6804
23780,6804
6804,6844
5354,6804
6804,9554
6804,6843
6804,6804
2824,6804
116841,6804
6855,92399
5780,6855
11140,6804
6642,6855
51100,6855
10105,6855
23647,6855
10226,6855
23066,6855
65009,6855
1962,57017
57017,80221
6642,7905
23647,7905
10006,3190
10006,9456
10006,7408
10006,56243
10006,10152
10006,23114
79026,79026
5413,55752
10056,2193
54940,7781
1072,60
60,60
11034,60
1962,60
11140,60
5684,5687
5682,5684
4741,4747
2670,4747
56947,56947
22908,56947
5354,56947
51090,56947
23780,56947
347,56947
3939,3945
56947,9554
10484,56947
1785,6386
10484,1785
2885,8936
5566,5577
3799,5577
1738,8050
6844,9342
2170,57698
57698,57698
6804,9342
25874,6642
25874,25874
112755,9342
10938,9342
10529,7414
25830,25830
5518,6801
11235,6801
10575,10576
5702,5702
5834,5837
10814,65009
6386,98
56648,6386
6386,997
3945,6386
6050,6386
23205,6386
6386,663
5413,6386
6386,63908
26232,6386
6386,6386
441518,6386
8573,8825
3190,386617
29966,5518
6636,9885
2946,2949
10768,10768
5910,5912
58473,5910
55737,9559
22919,22919
11140,55964
55964,55964
55964,6386
55233,55964
5414,8655
11345,8655
196403,7323
196403,2534
196403,2885
5682,7415
1962,7415
653689,7415
8646,8825
8027,9146
23052,7447
1159,1329
2782,55697
28970,55697
5515,55697
3927,55697
5537,55697
55697,83451
1962,55697
55697,55697
29978,6782
7295,87
10612,10612
10612,1453
10612,23321
2286,29978
29978,5887
29978,29979
29978,9146
29978,7917
29978,5300
29978,7335
29978,5479
29978,51144
11332,29978
10152,29978
29978,56005
29978,7316
29978,55739
29978,441518
29978,29978
29978,81567
112755,6844
112755,6843
112755,116841
5566,5573
127281,55346
1429,1429
285148,285148
25932,286262
286262,5499
22905,23558
22905,7316
22905,23111
1741,7458
1741,9229
1741,9228
23780,283578
5636,5636
5631,5636
10938,30845
10938,10938
1399,5706
162,25977
11345,23192
23192,81631
10484,8803
11112,950
11112,9854
11112,6844
11112,9554
11112,1312
148252,5910
51678,8825
3476,5537
3476,5515
10243,5682
1781,6993
53918,6993
6993,87
80273,80273
5682,6993
6386,6993
11140,818
5689,818
5595,8682
10419,11140
10419,2051
6272,7018
4199,4199
56850,5689
1962,56850
11140,56850
56850,56850
4698,4722
6455,6455
5689,6455
1740,9228
1740,9229
1740,58512
26060,26060
5594,6812
3927,815
815,816
815,818
815,817
11140,815
22941,9456
10458,22941
22941,5530
10093,81873
29979,6782
11332,29979
29979,7335
29979,7917
29979,56005
29979,441518
23190,29979
4735,5413
25813,54927
345557,5034
6386,9854
51100,7165
1398,5706
55856,56005
3039,3043
3039,3045
10152,2670
2670,2670
11140,2670
11345,79876
1072,71
60,71
10486,71
1073,71
11034,71
11140,71
4830,4830
1917,23170
226,226
6723,6723
23170,3337
1933,1937
84056,84056
84056,9525
55577,6386
8522,8522
11140,8522
2670,7431
1400,1809
1400,1808
84245,84245
10146,9100
10540,10540
10152,10540
5631,5631
6285,6285
6285,6386
2010,9217
5704,5705
1159,5702
9218,9885
347,9218
5050,5050
5049,5050
1173,4354
11235,8428
51606,9751
23474,23474
10574,23558
54585,55233
54585,54585
54585,5689
1962,54585
54585,6386
10580,84816
54585,5682
4259,6507
146691,54472
5687,5709
6386,9145
65009,9145
10226,9145
2947,2947
2098,2098
53358,5714
5714,9588
10211,1329
1173,8349
26060,5868
4282,4282
23647,51100
10105,23647
23647,23647
23647,65009
23647,27236
23647,6386
4259,65991
23780,4259
4259,4259
347,4259
4259,9554
7965,9255
116841,4259
149371,7965
29978,5708
5700,5708
5700,5711
10493,5354
6635,6636
54472,5689
10857,439
5062,998
283578,54918
1962,54918
27316,54918
10313,5780
6386,874
10313,7781
10313,22908
2512,6386
10980,51138
23780,94097
4741,7431
10152,5682
1808,56896
22919,5682
1809,56896
5594,5682
327,327
10484,7536
51100,6642
51100,51100
1073,5862
10982,10982
10982,22919
10982,22924
51466,7791
7408,7791
7791,84816
54769,5910
51056,7791
60491,7295
5524,60491
5050,60491
387,9181
23786,347
23786,5354
27316,3190
27316,27316
3187,3187
3945,3945
5682,5833
10152,3190
3190,5605
3190,3190
6386,6642
4144,4144
55611,7323
163,408
10226,128866
10226,6642
10226,5780
10226,6643
54472,80262
57471,84816
25813,84303
2937,2937
84959,9228
5689,84959
84959,84959
10342,3927
3927,9146
29978,3927
6470,6470
4893,5910
4893,9610
11140,5706
5706,6386
5702,5706
5706,5706
5705,5706
3208,7381
1962,51566
283578,55967
29978,5730
10486,10486
6652,6652
5518,5524
80212,80212
8575,8575
1962,8575
10342,9146
10342,10342
115827,5877
3735,7965
114569,2571
114569,6455
114569,8803
114569,23647
51100,56904
114569,51100
10133,6386
10133,9255
10133,10133
114569,65009
3612,3612
1073,60
27236,9522
65009,9522
23647,9522
5780,9522
10213,5713
126298,81631
1457,1457
11235,2193
11135,998
5689,5692
25801,5692
5692,9146
3208,56005
5864,5877
1312,2010
5354,91663
9255,9456
80221,9143
65009,9143
10226,9143
51100,9143
4354,9143
27236,9143
1962,9143
22919,22924
22924,6386
22924,22924
10152,5300
10105,10152
10152,56243
10152,10152
10152,2280
10152,9228
10152,112574
10152,5062
10152,23114
51181,51181
10767,53918
9961,9961
5701,5711
80318,80318
10152,51517
51517,5300
51517,8522
282974,9146
6386,80318
221184,51517
816,817
816,816
5912,816
816,818
11140,816
149371,56243
51100,8723
10980,53358
51699,55737
112936,55737
5701,5708
3251,6386
3251,3251
3831,663
23549,23549
23549,4354
5594,8682
4722,8834
192683,23647
192683,6455
392,6455
3190,9444
273,5530
51286,56947
10152,5530
5887,7316
28227,9146
25801,83451
51100,7163
10313,57142
2316,53918
60484,6396
5689,8396
60682,64744
11345,55738
4355,8825
493856,9854
23780,493856
493856,63908
1962,493856
112755,91452
2912,91452
55198,5878
26060,55198
817,818
23111,5573
63908,9342
112755,63908
63908,6804
10152,9892
5129,9135
7965,9135
10152,9135
7360,7360
11345,8887
5887,8887
11034,8887
5372,5870
7316,8887
5333,9146
1915,23170
26060,63893
2949,2949
2947,2949
1808,1808
63908,6857
663,6857
1808,1809
10105,6856
6386,6856
2010,6804
23780,6804
6804,6844
5354,6804
6804,9554
6804,6843
6804,6804
2824,6804
116841,6804
23647,6855
6855,92399
5780,6855
11140,6804
6642,6855
51100,6855
10105,6855
10226,6855
23066,6855
65009,6855
1962,57017
57017,80221
6642,7905
23647,7905
10006,3190
10006,9456
10006,7408
10006,56243
10006,10152
10006,23114
79026,79026
5413,55752
10056,2193
54940,7781
1072,60
60,60
11034,60
1962,60
11140,60
5684,5687
5682,5684
4741,4747
2670,4747
56947,56947
22908,56947
5354,56947
51090,56947
23780,56947
347,56947
3939,3945
56947,9554
10484,56947
10484,1785
1785,6386
2885,8936
5566,5577
3799,5577
1738,8050
6844,9342
2170,57698
57698,57698
6804,9342
25874,6642
25874,25874
112755,9342
10938,9342
10529,7414
25830,25830
5518,6801
11235,6801
10575,10576
5702,5702
5834,5837
10814,65009
6386,98
56648,6386
6386,997
3945,6386
6050,6386
23205,6386
6386,663
5413,6386
6386,63908
26232,6386
6386,6386
441518,6386
8573,8825
3190,386617
29966,5518
6636,9885
2946,2949
10768,10768
5910,5912
58473,5910
55737,9559
22919,22919
55964,6386
55233,55964
11140,55964
55964,55964
5414,8655
11345,8655
196403,7323
196403,2534
196403,2885
1962,7415
5682,7415
653689,7415
8646,8825
8027,9146
23052,7447
1159,1329
2782,55697
28970,55697
5515,55697
3927,55697
55697,83451
5537,55697
1962,55697
55697,55697
29978,6782
7295,87
10612,10612
10612,1453
10612,23321
2286,29978
29978,5887
29978,29979
29978,9146
29978,7917
29978,5300
29978,7335
29978,5479
29978,51144
11332,29978
10152,29978
29978,56005
29978,7316
29978,55739
29978,441518
29978,29978
29978,81567
112755,6844
112755,6843
112755,116841
5566,5573
127281,55346
1429,1429
285148,285148
25932,286262
286262,5499
22905,23558
22905,7316
22905,23111
1741,7458
1741,9229
1741,9228
23780,283578
5636,5636
5631,5636
10938,30845
10938,10938
1399,5706
162,25977
11345,23192
23192,81631
10484,8803
11112,950
11112,9854
11112,6844
11112,9554
11112,1312
148252,5910
51678,8825
3476,5537
3476,5515
10243,5682
1781,6993
53918,6993
6993,87
80273,80273
5682,6993
6386,6993
11140,818
5689,818
5595,8682
10419,11140
10419,2051
6272,7018
4199,4199
56850,5689
1962,56850
11140,56850
56850,56850
4698,4722
6455,6455
5689,6455
1740,9228
1740,9229
1740,58512
26060,26060
5594,6812
3927,815
815,816
815,818
815,817
11140,815
22941,9456
10458,22941
22941,5530
10093,81873
29979,6782
11332,29979
29979,7335
29979,7917
29979,56005
23190,29979
29979,441518
4735,5413
25813,54927
345557,5034
6386,9854
51100,7165
1398,5706
55856,56005
3039,3043
3039,3045
10152,2670
2670,2670
11140,2670
11345,79876
1072,71
60,71
10486,71
1073,71
11140,71
11034,71
4830,4830
1917,23170
226,226
23170,3337
6723,6723
1933,1937
84056,84056
84056,9525
55577,6386
8522,8522
11140,8522
2670,7431
1400,1809
1400,1808
84245,84245
10146,9100
10152,10540
10540,10540
5631,5631
6285,6285
2010,9217
6285,6386
5704,5705
1159,5702
9218,9885
347,9218
5050,5050
5049,5050
1173,4354
11235,8428
51606,9751
23474,23474
10574,23558
54585,55233
54585,5682
54585,54585
54585,5689
1962,54585
10580,84816
54585,6386
4259,6507
146691,54472
5687,5709
6386,9145
65009,9145
10226,9145
2947,2947
2098,2098
53358,5714
5714,9588
10211,1329
2534,2534
114876,9218
9218,9885
287,30845
10938,51479
30845,51479
10938,64145
30845,64145
10454,8473
71,71
1073,71
10486,71
10486,60
60,71
10133,10133
3939,3945
71,71
2670,2670
4830,4830
347,9218
2010,9217
5631,5631
2512,2512
226,230
6386,874
10486,71
10486,60
10016,311
1073,71
1073,60
10133,10133
10342,311
60,71
60,60
3939,3945
71,71
4830,4830
2670,2670
347,9218
2010,9217
5631,5631
2512,2512
6386,874
226,230
10486,71
10486,60
10016,311
1073,71
1073,60
10133,10133
10342,311
60,71
60,60
3939,3945
71,71
4830,4830
2670,2670
347,9218
2010,9217
5631,5631
2512,2512
6386,874
226,230
10486,71
10486,60
10016,311
1073,71
1073,60
10133,10133
10342,311
60,71
60,60
115207,115207
3945,535
3837,3840
7917,7917
7917,7917
1410,226
1410,1410
1410,1639
351,351
351,811
10675,351
1453,5789
2011,5789
3983,5789
387,9826
387,9826
387,9826
9826,998
3190,3190
9026,9026
1738,8050
1738,8050
5595,5595
5594,5594
55737,9559
5581,5581
10135,10135
10135,10135
10135,10135
2923,2923
3799,3799
7431,7431
10971,7529
7529,7529
7531,7531
10971,10971
7531,7532
7533,7533
7531,7531
7532,7532
7532,7532
10971,7532
7533,7533
7529,7529
10971,7531
10971,10971
7529,7531
7529,7532
348,351
2280,2475
1956,1956
1399,1399
443,443
2235,2235
6009,7178
2571,2571
5058,5093
5058,5093
5058,5879
5058,5236
5058,8655
5058,6130
1155,5058
5058,5058
2316,5058
26060,26060
26060,26060
6786,6786
2617,2617
2617,2617
1778,3064
6647,6647
6647,6647
6647,6647
4735,4735
4735,4735
55847,55847
55847,55847
55847,55847
