entA,interaction,entB,directed
1956,pp,6900,FALSE
11345,pp,1956,FALSE
1956,pp,7167,FALSE
1956,pp,4190,FALSE
1956,pp,3308,FALSE
10963,pp,1956,FALSE
1956,pp,471,FALSE
1937,pp,1956,FALSE
1072,pp,1956,FALSE
1956,pp,5864,FALSE
1956,pp,2805,FALSE
1956,pp,7184,FALSE
1956,pp,7389,FALSE
1956,pp,226,FALSE
10273,pp,1956,FALSE
1956,pp,9218,FALSE
10439,pp,1956,FALSE
1173,pp,1956,FALSE
1956,pp,8404,FALSE
1956,pp,51286,FALSE
1956,pp,6853,FALSE
11047,pp,1956,FALSE
1956,pp,23770,FALSE
10540,pp,1956,FALSE
1956,pp,2824,FALSE
1956,pp,79026,FALSE
1956,pp,382,FALSE
1956,pp,5730,FALSE
1956,pp,873,FALSE
1465,pp,1956,FALSE
1956,pp,7345,FALSE
1956,pp,5303,FALSE
1956,pp,3320,FALSE
1956,pp,6616,FALSE
1956,pp,5910,FALSE
1956,pp,3313,FALSE
815,pp,815,FALSE
10059,pp,10059,FALSE
8237,pp,8237,FALSE
2932,pp,2932,FALSE
5499,pp,5595,FALSE
5499,pp,5594,FALSE
1845,pp,5595,FALSE
5515,pp,5595,FALSE
5515,pp,5594,FALSE
1845,pp,5594,FALSE
439,pp,439,FALSE
4905,pp,5780,FALSE
5160,pp,54704,FALSE
310,pp,60,FALSE
310,pp,51412,FALSE
310,pp,506,FALSE
310,pp,523,FALSE
310,pp,7917,FALSE
10574,pp,310,FALSE
10980,pp,310,FALSE
221184,pp,310,FALSE
1400,pp,310,FALSE
1508,pp,310,FALSE
23564,pp,310,FALSE
1915,pp,310,FALSE
2597,pp,310,FALSE
2783,pp,310,FALSE
10681,pp,310,FALSE
3032,pp,310,FALSE
310,pp,55611,FALSE
310,pp,5162,FALSE
310,pp,5315,FALSE
310,pp,6187,FALSE
26230,pp,310,FALSE
310,pp,7114,FALSE
310,pp,7846,FALSE
310,pp,347733,FALSE
10381,pp,310,FALSE
310,pp,7431,FALSE
1397,pp,481,FALSE
23564,pp,481,FALSE
11140,pp,54862,FALSE
1113,pp,11140,FALSE
11140,pp,1428,FALSE
11140,pp,1639,FALSE
11140,pp,2475,FALSE
10989,pp,11140,FALSE
54918,pp,6613,FALSE
10574,pp,1785,FALSE
1759,pp,1785,FALSE
1785,pp,6187,FALSE
1785,pp,26230,FALSE
1400,pp,1808,FALSE
10570,pp,1808,FALSE
2273,pp,9590,FALSE
1627,pp,2273,FALSE
11345,pp,5786,FALSE
11345,pp,6187,FALSE
11345,pp,7534,FALSE
2597,pp,2806,FALSE
2597,pp,3735,FALSE
2597,pp,26578,FALSE
2597,pp,7531,FALSE
2745,pp,2806,FALSE
2885,pp,998,FALSE
2885,pp,28964,FALSE
23205,pp,2932,FALSE
2932,pp,51412,FALSE
11033,pp,2932,FALSE
2932,pp,80150,FALSE
2932,pp,738,FALSE
11258,pp,2932,FALSE
1915,pp,2932,FALSE
1937,pp,2932,FALSE
2475,pp,2932,FALSE
2597,pp,2932,FALSE
2783,pp,2932,FALSE
2932,pp,84966,FALSE
2932,pp,8570,FALSE
2932,pp,57662,FALSE
2932,pp,3799,FALSE
2932,pp,4134,FALSE
10724,pp,2932,FALSE
2932,pp,4354,FALSE
2932,pp,29959,FALSE
2932,pp,55968,FALSE
2932,pp,6176,FALSE
2932,pp,6187,FALSE
2932,pp,7846,FALSE
2932,pp,80700,FALSE
2932,pp,51569,FALSE
2932,pp,7431,FALSE
2932,pp,7511,FALSE
10989,pp,213,FALSE
10989,pp,1915,FALSE
3628,pp,8655,FALSE
60,pp,7965,FALSE
64837,pp,7965,FALSE
5518,pp,7965,FALSE
118,pp,81631,FALSE
55738,pp,81631,FALSE
1211,pp,81631,FALSE
1627,pp,81631,FALSE
5909,pp,81631,FALSE
6176,pp,81631,FALSE
81631,pp,9043,FALSE
10454,pp,80150,FALSE
10454,pp,1072,FALSE
10454,pp,1152,FALSE
10454,pp,1627,FALSE
10454,pp,2058,FALSE
10454,pp,28964,FALSE
10236,pp,10454,FALSE
10454,pp,51056,FALSE
10454,pp,51451,FALSE
10015,pp,10454,FALSE
10454,pp,5510,FALSE
10454,pp,5573,FALSE
10454,pp,114971,FALSE
10454,pp,6176,FALSE
3181,pp,5871,FALSE
5595,pp,8682,FALSE
3312,pp,5599,FALSE
5315,pp,55577,FALSE
1397,pp,5833,FALSE
127281,pp,5170,FALSE
28964,pp,5170,FALSE
5170,pp,8682,FALSE
5170,pp,6305,FALSE
506,pp,5300,FALSE
23564,pp,5300,FALSE
5300,pp,5315,FALSE
5300,pp,7249,FALSE
5516,pp,6176,FALSE
51109,pp,51109,FALSE
57142,pp,6232,FALSE
396,pp,6391,FALSE
2475,pp,4735,FALSE
3925,pp,4735,FALSE
23176,pp,6455,FALSE
23176,pp,6457,FALSE
10570,pp,6455,FALSE
6455,pp,7534,FALSE
10570,pp,6456,FALSE
2947,pp,6456,FALSE
6453,pp,6456,FALSE
129285,pp,6456,FALSE
30011,pp,6456,FALSE
26230,pp,6456,FALSE
53358,pp,6457,FALSE
1915,pp,6622,FALSE
2597,pp,6622,FALSE
1627,pp,7178,FALSE
6176,pp,7178,FALSE
11344,pp,396,FALSE
1627,pp,7323,FALSE
23285,pp,7323,FALSE
6176,pp,7323,FALSE
7323,pp,7846,FALSE
7323,pp,7511,FALSE
6642,pp,7353,FALSE
26230,pp,7353,FALSE
396,pp,51569,FALSE
7389,pp,7431,FALSE
1400,pp,7415,FALSE
3735,pp,7431,FALSE
6455,pp,7431,FALSE
989,pp,989,FALSE
5515,pp,5527,FALSE
5567,pp,5573,FALSE
3064,pp,6622,FALSE
3064,pp,3064,FALSE
2904,pp,815,FALSE
5265,pp,5265,FALSE
1457,pp,3326,FALSE
1457,pp,490,FALSE
1457,pp,498,FALSE
1457,pp,4691,FALSE
1457,pp,821,FALSE
1457,pp,27044,FALSE
1457,pp,3181,FALSE
1457,pp,1933,FALSE
1457,pp,23122,FALSE
1457,pp,3320,FALSE
1457,pp,813,FALSE
1457,pp,9049,FALSE
1457,pp,5567,FALSE
1457,pp,1936,FALSE
1457,pp,3069,FALSE
1457,pp,1654,FALSE
1457,pp,3840,FALSE
11333,pp,1457,FALSE
1457,pp,4735,FALSE
1457,pp,51566,FALSE
1457,pp,6176,FALSE
1457,pp,6188,FALSE
1457,pp,6421,FALSE
10130,pp,1457,FALSE
1457,pp,54521,FALSE
1457,pp,4172,FALSE
1457,pp,64423,FALSE
1457,pp,27316,FALSE
1457,pp,5684,FALSE
51100,pp,51100,FALSE
10133,pp,667,FALSE
26060,pp,667,FALSE
10006,pp,667,FALSE
10006,pp,3895,FALSE
10006,pp,3190,FALSE
10006,pp,10580,FALSE
10006,pp,7094,FALSE
1213,pp,48,FALSE
178,pp,26060,FALSE
26060,pp,274,FALSE
1785,pp,26060,FALSE
26060,pp,3315,FALSE
23111,pp,26060,FALSE
10049,pp,23066,FALSE
10049,pp,8079,FALSE
10049,pp,5236,FALSE
2023,pp,226,FALSE
2023,pp,2273,FALSE
2023,pp,3326,FALSE
2023,pp,3688,FALSE
2023,pp,3312,FALSE
2023,pp,5034,FALSE
2023,pp,5529,FALSE
2023,pp,7534,FALSE
5962,pp,7430,FALSE
7430,pp,9351,FALSE
7430,pp,9368,FALSE
10449,pp,10542,FALSE
10542,pp,1646,FALSE
10542,pp,3313,FALSE
10542,pp,3688,FALSE
10542,pp,6421,FALSE
10133,pp,1213,FALSE
10133,pp,10133,FALSE
10133,pp,7316,FALSE
10133,pp,7415,FALSE
23122,pp,5837,FALSE
1785,pp,5837,FALSE
2631,pp,5837,FALSE
3476,pp,5837,FALSE
51100,pp,5876,FALSE
51100,pp,56904,FALSE
51100,pp,8887,FALSE
2923,pp,6786,FALSE
1742,pp,9229,FALSE
128866,pp,25930,FALSE
10016,pp,25930,FALSE
25930,pp,6456,FALSE
3098,pp,7416,FALSE
1639,pp,5499,FALSE
1272,pp,5499,FALSE
1213,pp,5499,FALSE
1152,pp,5499,FALSE
1267,pp,5499,FALSE
5499,pp,9859,FALSE
1398,pp,5499,FALSE
26092,pp,5499,FALSE
286262,pp,5499,FALSE
114569,pp,5499,FALSE
4915,pp,4915,FALSE
7536,pp,7536,FALSE
3190,pp,7536,FALSE
3187,pp,7536,FALSE
3188,pp,7536,FALSE
3178,pp,51645,FALSE
3315,pp,3315,FALSE
5093,pp,53938,FALSE
10492,pp,3190,FALSE
3184,pp,3190,FALSE
26986,pp,3190,FALSE
10419,pp,10419,FALSE
3188,pp,3188,FALSE
3188,pp,9444,FALSE
5094,pp,5094,FALSE
9444,pp,9444,FALSE
10529,pp,7791,FALSE
5478,pp,7791,FALSE
7791,pp,87,FALSE
87,pp,87,FALSE
5479,pp,7791,FALSE
2885,pp,2885,FALSE
6386,pp,6386,FALSE
2744,pp,2744,FALSE
5518,pp,5529,FALSE
5529,pp,5529,FALSE
5499,pp,5529,FALSE
10015,pp,2534,FALSE
10419,pp,23380,FALSE
54585,pp,54585,FALSE
10458,pp,8936,FALSE
3984,pp,5058,FALSE
8659,pp,8659,FALSE
10458,pp,10458,FALSE
4684,pp,7345,FALSE
10458,pp,5879,FALSE
2316,pp,2316,FALSE
3326,pp,9212,FALSE
3326,pp,815,FALSE
3326,pp,816,FALSE
10645,pp,3326,FALSE
3326,pp,817,FALSE
3326,pp,814,FALSE
3326,pp,79012,FALSE
3326,pp,818,FALSE
3326,pp,5129,FALSE
3326,pp,9149,FALSE
2043,pp,3326,FALSE
3326,pp,3984,FALSE
3326,pp,50488,FALSE
3326,pp,5871,FALSE
3326,pp,5578,FALSE
3326,pp,5581,FALSE
3326,pp,5582,FALSE
2185,pp,3326,FALSE
282974,pp,3326,FALSE
2534,pp,3326,FALSE
3326,pp,84254,FALSE
2051,pp,3326,FALSE
2931,pp,3326,FALSE
3326,pp,5609,FALSE
3326,pp,4915,FALSE
3326,pp,5567,FALSE
3326,pp,5562,FALSE
3326,pp,5579,FALSE
11140,pp,3326,FALSE
3326,pp,8453,FALSE
3326,pp,8454,FALSE
3326,pp,8452,FALSE
3326,pp,54938,FALSE
3326,pp,3326,FALSE
3326,pp,386617,FALSE
3326,pp,3959,FALSE
3326,pp,6000,FALSE
23321,pp,3326,FALSE
3326,pp,57617,FALSE
11140,pp,8452,FALSE
2932,pp,6421,FALSE
2512,pp,3064,FALSE
26578,pp,3064,FALSE
3064,pp,6867,FALSE
3064,pp,51466,FALSE
3064,pp,5064,FALSE
23111,pp,3064,FALSE
3295,pp,3295,FALSE
6642,pp,6642,FALSE
1410,pp,1410,FALSE
1410,pp,3315,FALSE
2776,pp,408,FALSE
2778,pp,408,FALSE
5594,pp,5604,FALSE
1457,pp,6622,FALSE
3094,pp,3094,FALSE
3688,pp,7094,FALSE
1499,pp,2534,FALSE
351,pp,6622,FALSE
1399,pp,2549,FALSE
71,pp,7408,FALSE
5599,pp,5609,FALSE
2475,pp,6772,FALSE
5599,pp,998,FALSE
1398,pp,5599,FALSE
387,pp,5599,FALSE
2932,pp,5579,FALSE
2771,pp,3326,FALSE
1499,pp,27101,FALSE
2316,pp,818,FALSE
351,pp,811,FALSE
351,pp,4747,FALSE
2017,pp,4638,FALSE
1453,pp,6622,FALSE
351,pp,8650,FALSE
2316,pp,3326,FALSE
3927,pp,9414,FALSE
3927,pp,7791,FALSE
3927,pp,5530,FALSE
10419,pp,813,FALSE
10498,pp,9444,FALSE
10419,pp,7534,FALSE
5494,pp,5594,FALSE
1399,pp,1956,FALSE
5594,pp,5595,FALSE
1399,pp,5781,FALSE
1399,pp,5594,FALSE
1956,pp,3315,FALSE
5595,pp,5781,FALSE
25830,pp,5300,FALSE
25830,pp,25830,FALSE
2280,pp,6262,FALSE
10075,pp,3315,FALSE
2665,pp,3315,FALSE
3315,pp,56850,FALSE
120,pp,3315,FALSE
3315,pp,3476,FALSE
2037,pp,3315,FALSE
10627,pp,3315,FALSE
3069,pp,3315,FALSE
1982,pp,3315,FALSE
3315,pp,7533,FALSE
3315,pp,7534,FALSE
10971,pp,3315,FALSE
3315,pp,5700,FALSE
3309,pp,3315,FALSE
3315,pp,3326,FALSE
3315,pp,7431,FALSE
2288,pp,3315,FALSE
3315,pp,53918,FALSE
3315,pp,9446,FALSE
3315,pp,9868,FALSE
3315,pp,87,FALSE
3315,pp,81,FALSE
3315,pp,9414,FALSE
3315,pp,5786,FALSE
3315,pp,7381,FALSE
2036,pp,3315,FALSE
3315,pp,4673,FALSE
3315,pp,5687,FALSE
3315,pp,6636,FALSE
10273,pp,3315,FALSE
10728,pp,3315,FALSE
1974,pp,3315,FALSE
3315,pp,7514,FALSE
3315,pp,7178,FALSE
1983,pp,3315,FALSE
3315,pp,3320,FALSE
3315,pp,5684,FALSE
3315,pp,811,FALSE
3315,pp,7529,FALSE
286,pp,3315,FALSE
3315,pp,7353,FALSE
2617,pp,3315,FALSE
3188,pp,3315,FALSE
3315,pp,87178,FALSE
3315,pp,4638,FALSE
3315,pp,9352,FALSE
3315,pp,51517,FALSE
163,pp,3315,FALSE
23136,pp,3315,FALSE
3315,pp,8775,FALSE
10938,pp,3315,FALSE
3315,pp,7798,FALSE
3315,pp,55699,FALSE
3315,pp,84457,FALSE
3315,pp,3831,FALSE
3315,pp,6711,FALSE
3315,pp,6396,FALSE
3315,pp,6305,FALSE
3181,pp,3315,FALSE
116988,pp,3315,FALSE
3315,pp,7531,FALSE
3315,pp,8536,FALSE
3315,pp,8874,FALSE
3308,pp,3315,FALSE
3315,pp,5898,FALSE
10133,pp,3315,FALSE
2521,pp,5339,FALSE
2011,pp,4137,FALSE
5906,pp,7534,FALSE
6622,pp,6853,FALSE
10376,pp,10381,FALSE
7531,pp,9588,FALSE
5479,pp,7184,FALSE
5479,pp,9601,FALSE
4137,pp,5034,FALSE
26986,pp,2935,FALSE
64601,pp,65082,FALSE
57617,pp,64601,FALSE
55823,pp,57617,FALSE
64601,pp,64601,FALSE
55823,pp,64601,FALSE
51062,pp,51062,FALSE
23380,pp,3064,FALSE
3064,pp,63908,FALSE
3064,pp,8239,FALSE
10540,pp,3064,FALSE
3064,pp,8453,FALSE
29072,pp,3064,FALSE
3064,pp,3329,FALSE
3064,pp,5315,FALSE
10580,pp,3064,FALSE
1759,pp,3064,FALSE
3064,pp,9901,FALSE
1499,pp,3064,FALSE
3064,pp,7529,FALSE
29993,pp,3064,FALSE
128866,pp,3064,FALSE
1785,pp,3064,FALSE
23332,pp,3064,FALSE
2597,pp,3064,FALSE
120,pp,3064,FALSE
10458,pp,3064,FALSE
161,pp,3064,FALSE
3064,pp,7430,FALSE
1778,pp,3064,FALSE
3064,pp,8065,FALSE
1956,pp,54187,FALSE
1956,pp,5516,FALSE
4893,pp,7464,FALSE
4893,pp,5516,FALSE
4893,pp,5921,FALSE
7431,pp,7529,FALSE
5245,pp,54828,FALSE
57524,pp,8573,FALSE
11140,pp,1956,FALSE
1956,pp,23386,FALSE
10273,pp,8079,FALSE
5704,pp,8079,FALSE
11047,pp,5704,FALSE
5704,pp,5708,FALSE
3320,pp,5567,FALSE
11140,pp,5567,FALSE
10910,pp,3326,FALSE
5708,pp,8943,FALSE
3320,pp,8943,FALSE
27101,pp,8943,FALSE
10681,pp,8079,FALSE
10681,pp,3326,FALSE
10681,pp,10726,FALSE
10681,pp,5202,FALSE
10681,pp,5708,FALSE
10681,pp,10963,FALSE
11140,pp,5170,FALSE
5709,pp,8079,FALSE
5708,pp,5709,FALSE
10724,pp,23386,FALSE
10049,pp,5708,FALSE
10382,pp,8079,FALSE
10382,pp,5708,FALSE
3320,pp,3326,FALSE
10728,pp,9601,FALSE
2781,pp,8079,FALSE
23386,pp,2781,FALSE
2781,pp,5708,FALSE
10963,pp,2781,FALSE
27101,pp,2781,FALSE
7385,pp,8079,FALSE
3300,pp,8079,FALSE
3300,pp,5708,FALSE
2769,pp,8079,FALSE
2769,pp,5708,FALSE
27101,pp,2769,FALSE
1384,pp,8079,FALSE
1384,pp,23386,FALSE
1384,pp,27101,FALSE
1374,pp,27101,FALSE
3306,pp,5708,FALSE
10808,pp,3306,FALSE
3306,pp,7265,FALSE
2782,pp,8079,FALSE
2782,pp,5708,FALSE
23386,pp,2782,FALSE
10963,pp,2782,FALSE
2288,pp,3326,FALSE
11140,pp,2288,FALSE
10910,pp,2288,FALSE
2288,pp,23386,FALSE
11140,pp,5562,FALSE
5708,pp,8079,FALSE
10963,pp,5708,FALSE
23770,pp,3326,FALSE
23386,pp,23770,FALSE
23770,pp,5708,FALSE
11140,pp,3320,FALSE
7260,pp,8079,FALSE
3326,pp,7260,FALSE
10726,pp,7260,FALSE
23386,pp,7260,FALSE
5708,pp,7260,FALSE
10273,pp,7260,FALSE
2783,pp,8079,FALSE
2783,pp,3326,FALSE
10726,pp,2783,FALSE
2783,pp,5202,FALSE
23386,pp,2783,FALSE
2783,pp,5708,FALSE
10963,pp,2783,FALSE
55466,pp,813,FALSE
8079,pp,813,FALSE
23191,pp,5708,FALSE
23191,pp,8079,FALSE
140690,pp,3326,FALSE
10726,pp,140690,FALSE
140690,pp,23386,FALSE
10910,pp,140690,FALSE
10963,pp,140690,FALSE
10273,pp,140690,FALSE
55466,pp,55466,FALSE
11140,pp,9212,FALSE
10910,pp,55631,FALSE
5202,pp,5202,FALSE
10273,pp,5708,FALSE
26052,pp,8079,FALSE
23386,pp,26052,FALSE
26052,pp,5708,FALSE
10273,pp,26052,FALSE
26052,pp,27101,FALSE
26052,pp,7265,FALSE
10000,pp,3326,FALSE
10000,pp,3320,FALSE
10000,pp,11140,FALSE
2193,pp,8079,FALSE
2193,pp,5708,FALSE
11188,pp,23386,FALSE
11140,pp,2534,FALSE
10726,pp,1762,FALSE
11140,pp,80349,FALSE
10910,pp,8036,FALSE
1398,pp,2549,FALSE
2549,pp,5921,FALSE
2549,pp,5335,FALSE
2549,pp,53358,FALSE
6804,pp,9342,FALSE
10439,pp,9342,FALSE
3320,pp,4035,FALSE
7316,pp,7323,FALSE
5315,pp,5595,FALSE
5578,pp,5578,FALSE
3326,pp,4137,FALSE
214,pp,3958,FALSE
214,pp,3956,FALSE
57488,pp,57488,FALSE
6710,pp,6772,FALSE
1445,pp,5170,FALSE
1398,pp,51493,FALSE
26060,pp,51493,FALSE
22924,pp,55198,FALSE
2885,pp,50855,FALSE
1398,pp,55748,FALSE
1627,pp,2885,FALSE
1398,pp,3927,FALSE
1398,pp,55697,FALSE
1398,pp,5049,FALSE
2885,pp,7415,FALSE
1398,pp,5566,FALSE
1398,pp,54443,FALSE
1398,pp,23157,FALSE
1398,pp,5700,FALSE
1398,pp,2098,FALSE
2597,pp,5550,FALSE
6622,pp,7533,FALSE
1728,pp,1728,FALSE
10015,pp,1956,FALSE
1956,pp,4035,FALSE
1956,pp,4137,FALSE
1956,pp,7529,FALSE
1956,pp,8874,FALSE
1956,pp,7846,FALSE
1956,pp,351,FALSE
1956,pp,408,FALSE
1956,pp,2549,FALSE
10458,pp,1956,FALSE
1956,pp,5599,FALSE
1956,pp,3312,FALSE
1956,pp,6456,FALSE
1956,pp,5058,FALSE
10454,pp,1956,FALSE
1956,pp,5581,FALSE
1956,pp,6622,FALSE
1956,pp,51429,FALSE
1956,pp,6457,FALSE
1500,pp,1956,FALSE
1956,pp,2017,FALSE
1956,pp,81,FALSE
1956,pp,7430,FALSE
1956,pp,4915,FALSE
1956,pp,5578,FALSE
1445,pp,1956,FALSE
2550,pp,9568,FALSE
10938,pp,51479,FALSE
4137,pp,4140,FALSE
4137,pp,4139,FALSE
4915,pp,6272,FALSE
10211,pp,2319,FALSE
51699,pp,9559,FALSE
51699,pp,55737,FALSE
6642,pp,6643,FALSE
55737,pp,6642,FALSE
55737,pp,9559,FALSE
6643,pp,6643,FALSE
10015,pp,6386,FALSE
10152,pp,9743,FALSE
5515,pp,55697,FALSE
11332,pp,816,FALSE
11332,pp,29979,FALSE
11332,pp,1410,FALSE
10213,pp,5713,FALSE
3251,pp,6386,FALSE
2512,pp,6386,FALSE
6252,pp,6386,FALSE
54585,pp,6386,FALSE
10152,pp,6386,FALSE
55964,pp,6386,FALSE
55577,pp,6386,FALSE
22924,pp,6386,FALSE
6386,pp,8618,FALSE
8573,pp,8825,FALSE
4355,pp,8825,FALSE
7791,pp,8825,FALSE
10152,pp,9146,FALSE
2051,pp,60491,FALSE
226,pp,230,FALSE
29979,pp,6184,FALSE
2170,pp,57698,FALSE
163,pp,293,FALSE
1327,pp,6386,FALSE
6050,pp,6386,FALSE
1936,pp,7178,FALSE
5702,pp,5706,FALSE
22924,pp,5689,FALSE
5110,pp,7965,FALSE
29979,pp,5479,FALSE
6843,pp,9342,FALSE
22919,pp,5682,FALSE
51100,pp,5682,FALSE
5682,pp,7415,FALSE
2286,pp,29979,FALSE
527,pp,5684,FALSE
5684,pp,5692,FALSE
10105,pp,10152,FALSE
10486,pp,71,FALSE
114569,pp,5780,FALSE
2947,pp,2949,FALSE
5864,pp,5877,FALSE
6386,pp,997,FALSE
10152,pp,7408,FALSE
55198,pp,5878,FALSE
23647,pp,9146,FALSE
114569,pp,23647,FALSE
113146,pp,11345,FALSE
11345,pp,55738,FALSE
1073,pp,11034,FALSE
11034,pp,8887,FALSE
3382,pp,5862,FALSE
10133,pp,10890,FALSE
5912,pp,816,FALSE
5706,pp,6386,FALSE
2885,pp,60491,FALSE
6844,pp,9342,FALSE
23549,pp,4354,FALSE
3831,pp,663,FALSE
1962,pp,71,FALSE
1962,pp,60,FALSE
10152,pp,5562,FALSE
7965,pp,9255,FALSE
29979,pp,7335,FALSE
1781,pp,83658,FALSE
10152,pp,5300,FALSE
10313,pp,6642,FALSE
57142,pp,6642,FALSE
1400,pp,1809,FALSE
1808,pp,1809,FALSE
2912,pp,29979,FALSE
3927,pp,5684,FALSE
3927,pp,55964,FALSE
5684,pp,7536,FALSE
10982,pp,22919,FALSE
22919,pp,22924,FALSE
5700,pp,5711,FALSE
1808,pp,56896,FALSE
55697,pp,883,FALSE
29979,pp,441518,FALSE
10486,pp,60,FALSE
3939,pp,5602,FALSE
29979,pp,51144,FALSE
10486,pp,1073,FALSE
30011,pp,5684,FALSE
114569,pp,203068,FALSE
10016,pp,311,FALSE
10342,pp,311,FALSE
10152,pp,56243,FALSE
114569,pp,6455,FALSE
10152,pp,3190,FALSE
5684,pp,80017,FALSE
29979,pp,55739,FALSE
23190,pp,29979,FALSE
26578,pp,6386,FALSE
23157,pp,5413,FALSE
4735,pp,5413,FALSE
10767,pp,53918,FALSE
26060,pp,63893,FALSE
56648,pp,6386,FALSE
56648,pp,60491,FALSE
55156,pp,56181,FALSE
28970,pp,55697,FALSE
9217,pp,9885,FALSE
25930,pp,5684,FALSE
54828,pp,80262,FALSE
55233,pp,55964,FALSE
22931,pp,8887,FALSE
11311,pp,64145,FALSE
51571,pp,60491,FALSE
25813,pp,54927,FALSE
58473,pp,5910,FALSE
23157,pp,55964,FALSE
10801,pp,23157,FALSE
29979,pp,813,FALSE
23786,pp,51090,FALSE
51100,pp,7165,FALSE
498,pp,506,FALSE
3799,pp,8887,FALSE
6386,pp,874,FALSE
23564,pp,55697,FALSE
57698,pp,57698,FALSE
4282,pp,4282,FALSE
3796,pp,3796,FALSE
8574,pp,8574,FALSE
10768,pp,10768,FALSE
8522,pp,8522,FALSE
3251,pp,3251,FALSE
3945,pp,3945,FALSE
5213,pp,5213,FALSE
5860,pp,5860,FALSE
2098,pp,2098,FALSE
5834,pp,5834,FALSE
2539,pp,2539,FALSE
3615,pp,3615,FALSE
2670,pp,2670,FALSE
3958,pp,3958,FALSE
5702,pp,5702,FALSE
7414,pp,7414,FALSE
2781,pp,2781,FALSE
528,pp,528,FALSE
191,pp,191,FALSE
4144,pp,4144,FALSE
6470,pp,6470,FALSE
27316,pp,27316,FALSE
10486,pp,10486,FALSE
2949,pp,2949,FALSE
2010,pp,2010,FALSE
10247,pp,10247,FALSE
5706,pp,5706,FALSE
79026,pp,79026,FALSE
8514,pp,8514,FALSE
816,pp,816,FALSE
817,pp,817,FALSE
10540,pp,10540,FALSE
1400,pp,1400,FALSE
1974,pp,1974,FALSE
22919,pp,22919,FALSE
1073,pp,1073,FALSE
30011,pp,30011,FALSE
80318,pp,80318,FALSE
51181,pp,51181,FALSE
26086,pp,26086,FALSE
84959,pp,84959,FALSE
64853,pp,64853,FALSE
5413,pp,5413,FALSE
84056,pp,84056,FALSE
65991,pp,65991,FALSE
57142,pp,57142,FALSE
