Alg	Psig&ORsig	0.0	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	1.0	1.1	1.2	1.3	1.4	1.5	1.6	1.8	1.9	2.0	2.1	2.2	2.3	2.4	2.5	2.6	2.7	2.8	2.9	3.0	3.1	3.2	3.3	3.4	3.5	3.6	3.7	3.8	3.9	4.0	4.1	4.2	4.3	4.4	4.5	4.6	4.7	4.8	4.9	5.0	5.1	5.3	5.4	5.5	5.6	5.7	5.8	5.9	6.0	6.1	6.2	6.3	6.4	6.5	6.6	6.7	6.8	6.9	7.0	7.1	7.2	7.3	7.4	7.5	7.6	7.7	7.8	7.9	8.0	8.1	8.2	8.3	8.4	8.5	8.7	8.8	8.9	9.0	9.1	9.2	9.3	9.4	9.5	9.6	9.7	9.8	9.9	10.0	10.1	10.2	10.3	10.4	10.5	10.6	10.7	10.8	10.9
fc	58	22	18	18	18	18	18	17	15	15	14	13	13	13	13	13	12	12	6	6	6	6	6	6	3	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lourvain	76	54	52	51	48	37	32	31	30	29	29	29	28	28	25	23	21	21	18	18	18	17	15	13	9	9	5	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lec	45	27	26	26	26	25	25	24	24	24	22	22	19	19	19	19	19	18	17	16	16	16	16	16	16	16	16	12	12	12	12	12	12	6	6	6	6	6	6	6	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
infomap	218	218	218	218	218	218	215	215	215	214	214	211	211	211	211	208	208	208	207	204	202	198	195	193	185	181	181	179	175	172	169	169	165	161	155	155	153	142	137	136	131	125	125	118	108	105	104	101	100	98	95	87	86	74	73	72	69	65	54	49	49	41	25	25	25	25	23	23	23	23	23	10	10	10	10	10	10	10	10	10	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sgG1	75	55	48	48	48	48	48	47	47	44	43	41	40	40	40	40	39	39	38	32	27	27	27	21	21	18	18	18	18	17	17	17	17	17	17	16	16	15	15	14	13	13	13	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sgG2	128	127	127	122	121	117	115	115	111	110	110	110	106	101	98	94	89	87	84	77	71	70	63	63	62	61	60	57	56	56	56	48	45	43	43	38	38	38	38	33	32	25	25	25	24	24	24	24	24	24	24	22	22	21	21	21	16	16	16	16	16	16	8	8	8	8	8	8	8	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sgG5	183	183	183	183	183	183	183	183	183	183	183	183	182	180	180	180	180	180	175	173	173	173	170	168	167	164	160	155	148	148	137	136	128	123	122	105	98	97	97	84	80	76	76	68	66	65	57	53	53	46	46	33	33	32	25	25	24	21	21	21	21	21	14	14	14	14	13	13	13	13	13	5	5	5	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wt	182	163	158	158	156	156	156	153	153	152	151	146	146	145	144	141	141	140	138	138	136	135	135	131	127	123	123	119	118	116	115	115	114	114	113	113	113	112	112	107	107	107	107	107	104	101	101	99	99	99	99	97	94	94	94	94	89	80	80	77	77	77	56	56	56	56	54	54	54	54	54	36	36	36	36	36	31	31	31	31	25	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fc_2	140	133	131	128	128	128	128	127	116	114	113	112	108	108	107	101	96	96	85	84	82	76	69	69	64	64	62	61	60	58	57	53	52	48	48	41	41	37	37	34	27	27	27	25	25	21	21	21	21	13	12	12	12	11	11	11	9	9	8	8	8	8	8	8	8	8	3	3	3	3	3	3	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lourvain_2	98	86	84	83	80	69	67	66	65	64	64	64	63	63	60	58	56	56	53	53	50	49	47	41	37	37	33	32	32	27	27	27	26	20	18	17	15	15	15	15	15	12	12	12	6	6	6	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sgG1_2	114	109	102	102	102	102	102	102	102	102	101	99	98	96	96	95	94	94	93	83	76	76	76	69	63	60	60	60	54	53	53	53	48	48	44	41	38	36	36	35	31	31	31	27	27	27	24	24	24	24	24	24	24	22	22	22	22	22	21	21	21	21	10	10	10	10	10	10	10	10	10	8	6	6	6	6	6	6	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Geodesicdiff	136	115	114	113	113	113	113	111	110	110	107	106	101	98	98	98	94	94	94	94	92	90	87	83	79	78	76	76	76	73	66	66	60	58	53	53	43	41	41	40	37	34	34	34	34	27	27	23	23	22	22	19	16	16	16	16	16	16	16	16	16	10	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spectral	145	126	126	126	125	124	124	124	123	123	122	121	118	118	118	118	116	116	113	113	108	105	105	105	104	104	104	103	103	101	100	99	99	97	97	93	92	84	84	84	84	81	81	79	78	78	78	76	76	76	76	76	76	76	76	76	64	59	59	59	59	59	56	56	56	56	53	53	53	50	50	34	27	27	27	27	27	27	27	27	17	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spectral_1.5	111	108	107	107	102	102	97	97	95	95	94	94	89	86	86	86	74	73	69	68	68	63	62	61	60	59	52	49	47	33	21	16	14	12	12	11	6	5	5	5	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spectral_1.25	113	110	109	109	104	103	100	100	98	98	97	97	95	91	91	91	83	82	79	75	74	69	69	66	65	64	60	56	52	41	28	27	23	17	17	16	11	10	10	9	8	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spectral_1	120	117	116	116	114	113	110	110	108	108	107	107	102	99	99	99	98	97	94	90	88	84	84	82	81	80	75	70	66	61	52	51	47	41	41	40	35	28	28	26	25	21	21	14	9	9	9	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
