C	Cn	autism_spectrum_disorder	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	intellectual_disability	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Alzheimer's_disease	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	hypertension	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	autistic_disorder	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Huntington's_disease	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Parkinson's_disease	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	epilepsy_syndrome	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	bipolar_disorder	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	schizophrenia	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	frontotemporal_dementia	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
29	5		0	0.265487	0	[0.00,0.00]	1	1	0.1		1	1			0	0.277554	0	[0.00,0.00]	1	1	0.1		1	1			1	0.840708	1.23798	[0.14,11.13]	1	1	0.1		0.403476	1			1	0.4465	2.56364	[0.28,23.14]	0.37406	1	0.1		0.933916	1			0	0.265487	0	[0.00,0.00]	1	1	0.1		1	1			0	0.156879	0	[0.00,0.00]	1	1	0.1		1	1			1	0.321802	3.66772	[0.41,33.21]	0.283358	1	0.1		0.963973	1			1	0.438455	2.61574	[0.29,23.61]	0.368501	1	0.1		0.936072	1			0	0.31778	0	[0.00,0.00]	1	1	0.1		1	1			2	1.0539	2.50769	[0.42,15.09]	0.284804	1	0.1		0.933853	1			0	0.285599	0	[0.00,0.00]	1	1	0.1		1	1		
30	8		0	0.424779	0	[0.00,0.00]	1	1	0.1		1	1			0	0.444087	0	[0.00,0.00]	1	1	0.1		1	1			1	1.34513	0.705357	[0.09,5.76]	1	1	0.1		0.371599	1			0	0.714401	0	[0.00,0.00]	1	1	0.1		1	1			0	0.424779	0	[0.00,0.00]	1	1	0.1		1	1			0	0.251006	0	[0.00,0.00]	1	1	0.1		1	1			0	0.514883	0	[0.00,0.00]	1	1	0.1		1	1			1	0.701529	1.49074	[0.18,12.23]	0.521159	1	0.1		0.849337	1			0	0.508447	0	[0.00,0.00]	1	1	0.1		1	1			1	1.68624	0.533114	[0.07,4.35]	1	1	0.1		0.321952	1			0	0.456959	0	[0.00,0.00]	1	1	0.1		1	1		
31	11		2	0.584071	4.05556	[0.86,19.16]	0.112119	1	0.1		0.982631	1			0	0.610619	0	[0.00,0.00]	1	1	0.1		1	1			6	1.84956	6.08276	[1.84,20.12]	0.0046273	1	0.1		0.999377	1			0	0.982301	0	[0.00,0.00]	1	1	0.1		1	1			2	0.584071	4.05556	[0.86,19.16]	0.112119	1	0.1		0.982631	1			2	0.345133	7.17718	[1.50,34.39]	0.0441338	1	0.1		0.996038	1			2	0.707965	3.28775	[0.70,15.48]	0.154385	1	0.1		0.970903	1			3	0.964602	3.98349	[1.04,15.24]	0.0643507	1	0.1		0.988611	1			2	0.699115	3.33333	[0.71,15.70]	0.151252	1	0.1		0.971855	1			2	2.31858	0.830769	[0.18,3.87]	1	1	0.1		0.29136	1			2	0.628319	3.74557	[0.79,17.67]	0.126793	1	0.1		0.978836	1		
32	18		1	0.955752	1.04977	[0.14,8.01]	1	1	0.1		0.380915	1			0	0.999195	0	[0.00,0.00]	1	1	0.1		1	1			4	3.02655	1.4216	[0.46,4.36]	0.525125	1	0.1		0.661899	1			1	1.6074	0.596257	[0.08,4.52]	1	1	0.1		0.328687	1			1	0.955752	1.04977	[0.14,8.01]	1	1	0.1		0.380915	1			1	0.564763	1.83746	[0.24,14.17]	0.43889	1	0.1		0.892955	1			4	1.15849	4.31955	[1.39,13.44]	0.0243549	1	0.1		0.995702	1			1	1.57844	0.608388	[0.08,4.62]	1	1	0.1		0.332668	1			2	1.14401	1.86364	[0.42,8.25]	0.318901	1	0.1		0.898829	1			6	3.79405	1.89258	[0.70,5.09]	0.239589	1	0.1		0.855332	1			4	1.02816	4.93817	[1.58,15.41]	0.0162596	1	0.1		0.997474	1		
33	22		1	1.16814	0.846886	[0.11,6.39]	1	1	0.1		0.374236	1			2	1.22124	1.72239	[0.39,7.52]	0.347805	1	0.1		0.881528	1			6	3.69912	1.88054	[0.73,4.86]	0.242632	1	0.1		0.845825	1			4	1.9646	2.3136	[0.77,6.96]	0.125867	1	0.1		0.960198	1			1	1.16814	0.846886	[0.11,6.39]	1	1	0.1		0.374236	1			0	0.690265	0	[0.00,0.00]	1	1	0.1		1	1			2	1.41593	1.46538	[0.34,6.38]	0.64794	1	0.1		0.607557	1			0	1.9292	0	[0.00,0.00]	1	1	0.1		1	1			1	1.39823	0.697802	[0.09,5.26]	1	1	0.1		0.354047	1			6	4.63717	1.41357	[0.55,3.65]	0.436511	1	0.1		0.712664	1			2	1.25664	1.66957	[0.38,7.29]	0.361047	1	0.1		0.873665	1		
34	27		1	1.43363	0.681065	[0.09,5.10]	1	1	0.1		0.349219	1			1	1.49879	0.649321	[0.09,4.86]	1	1	0.1		0.341408	1			1	4.53982	0.186391	[0.03,1.38]	0.0695658	1	0.1		0.967095	1			0	2.4111	0	[0.00,0.00]	1	1	0.1		1	1			1	1.43363	0.681065	[0.09,5.10]	1	1	0.1		0.349219	1			0	0.847144	0	[0.00,0.00]	1	1	0.1		1	1			1	1.73773	0.553554	[0.07,4.13]	1	1	0.1		0.309074	1			2	2.36766	0.829159	[0.19,3.55]	1	1	0.1		0.274506	1			1	1.71601	0.561144	[0.08,4.19]	1	1	0.1		0.312184	1			4	5.69107	0.64577	[0.22,1.88]	0.632396	1	0.1		0.517505	1			2	1.54224	1.32986	[0.31,5.73]	0.66409	1	0.1		0.602412	1		
35	14		3	0.743363	5.04762	[1.37,18.55]	0.0341792	1	0.1		0.995146	1			0	0.777152	0	[0.00,0.00]	1	1	0.1		1	1			10	2.35398	12.9397	[4.02,41.67]	7.9924e-06	0.038649	0.1	**	0.999999	1			4	1.2502	4.19439	[1.29,13.60]	0.0298575	1	0.1		0.994603	1			3	0.743363	5.04762	[1.37,18.55]	0.0341792	1	0.1		0.995146	1			1	0.43926	2.41093	[0.31,18.91]	0.361534	1	0.1		0.931163	1			3	0.901046	4.08028	[1.12,14.93]	0.0558375	1	0.1		0.990295	1			3	1.22767	2.88937	[0.79,10.52]	0.11729	1	0.1		0.971889	1			1	0.889783	1.13511	[0.15,8.79]	0.6032	1	0.1		0.778087	1			7	2.95093	3.81961	[1.33,10.99]	0.0149787	1	0.1		0.996777	1			2	0.799678	2.80193	[0.61,12.77]	0.188272	1	0.1		0.958725	1		
36	25		0	1.32743	0	[0.00,0.00]	1	1	0.1		1	1			1	1.38777	0.704657	[0.09,5.29]	1	1	0.1		0.354626	1			3	4.20354	0.669903	[0.20,2.26]	0.786198	1	0.1		0.40496	1			0	2.2325	0	[0.00,0.00]	1	1	0.1		1	1			0	1.32743	0	[0.00,0.00]	1	1	0.1		1	1			0	0.784393	0	[0.00,0.00]	1	1	0.1		1	1			1	1.60901	0.600738	[0.08,4.50]	1	1	0.1		0.327274	1			0	2.19228	0	[0.00,0.00]	1	1	0.1		1	1			0	1.5889	0	[0.00,0.00]	1	1	0.1		1	1			5	5.26951	0.934825	[0.35,2.51]	1	1	0.1		0.196161	1			1	1.428	0.683333	[0.09,5.13]	1	1	0.1		0.350132	1		
37	33		1	1.75221	0.550481	[0.07,4.09]	1	1	0.1		0.306757	1			0	1.83186	0	[0.00,0.00]	1	1	0.1		1	1			2	5.54867	0.312607	[0.07,1.32]	0.102595	1	0.1		0.94552	1			1	2.9469	0.3125	[0.04,2.31]	0.354311	1	0.1		0.79137	1			1	1.75221	0.550481	[0.07,4.09]	1	1	0.1		0.306757	1			1	1.0354	0.963816	[0.13,7.24]	1	1	0.1		0.378176	1			2	2.12389	0.936311	[0.22,3.98]	1	1	0.1		0.281645	1			0	2.89381	0	[0.00,0.00]	1	1	0.1		1	1			1	2.09735	0.453526	[0.06,3.36]	0.717883	1	0.1		0.538238	1			5	6.95575	0.662173	[0.25,1.73]	0.518203	1	0.1		0.612584	1			3	1.88496	1.67941	[0.50,5.64]	0.430406	1	0.1		0.745754	1		
38	7		0	0.371681	0	[0.00,0.00]	1	1	0.1		1	1			0	0.388576	0	[0.00,0.00]	1	1	0.1		1	1			1	1.17699	0.823718	[0.10,6.88]	1	1	0.1		0.390938	1			0	0.625101	0	[0.00,0.00]	1	1	0.1		1	1			0	0.371681	0	[0.00,0.00]	1	1	0.1		1	1			0	0.21963	0	[0.00,0.00]	1	1	0.1		1	1			0	0.450523	0	[0.00,0.00]	1	1	0.1		1	1			0	0.613837	0	[0.00,0.00]	1	1	0.1		1	1			1	0.444891	2.47436	[0.29,20.81]	0.369227	1	0.1		0.931997	1			1	1.47546	0.622605	[0.07,5.19]	1	1	0.1		0.357119	1			0	0.399839	0	[0.00,0.00]	1	1	0.1		1	1		
39	8		0	0.424779	0	[0.00,0.00]	1	1	0.1		1	1			0	0.444087	0	[0.00,0.00]	1	1	0.1		1	1			1	1.34513	0.705357	[0.09,5.76]	1	1	0.1		0.371599	1			0	0.714401	0	[0.00,0.00]	1	1	0.1		1	1			0	0.424779	0	[0.00,0.00]	1	1	0.1		1	1			0	0.251006	0	[0.00,0.00]	1	1	0.1		1	1			0	0.514883	0	[0.00,0.00]	1	1	0.1		1	1			0	0.701529	0	[0.00,0.00]	1	1	0.1		1	1			0	0.508447	0	[0.00,0.00]	1	1	0.1		1	1			3	1.68624	2.261	[0.54,9.52]	0.376405	1	0.1		0.784307	1			0	0.456959	0	[0.00,0.00]	1	1	0.1		1	1		
40	17		1	0.902655	1.11635	[0.15,8.55]	0.606901	1	0.1		0.772993	1			0	0.943685	0	[0.00,0.00]	1	1	0.1		1	1			3	2.85841	1.06103	[0.30,3.73]	1	1	0.1		0.247347	1			1	1.5181	0.634091	[0.08,4.83]	1	1	0.1		0.341024	1			1	0.902655	1.11635	[0.15,8.55]	0.606901	1	0.1		0.772993	1			0	0.533387	0	[0.00,0.00]	1	1	0.1		1	1			0	1.09413	0	[0.00,0.00]	1	1	0.1		1	1			2	1.49075	1.39439	[0.31,6.18]	0.655463	1	0.1		0.610561	1			2	1.08045	1.98961	[0.45,8.86]	0.294709	1	0.1		0.911799	1			6	3.58327	2.06676	[0.76,5.64]	0.144881	1	0.1		0.9351	1			1	0.971038	1.03214	[0.13,7.90]	1	1	0.1		0.381597	1		
41	4		1	0.212389	6.02051	[0.62,58.68]	0.196282	1	0.1		0.984452	1			0	0.222043	0	[0.00,0.00]	1	1	0.1		1	1			2	0.672566	4.98551	[0.70,35.60]	0.133719	1	0.1		0.983553	1			2	0.3572	10.367	[1.45,74.33]	0.0420783	1	0.1		0.997403	1			1	0.212389	6.02051	[0.62,58.68]	0.196282	1	0.1		0.984452	1			0	0.125503	0	[0.00,0.00]	1	1	0.1		1	1			1	0.257442	4.89451	[0.50,47.60]	0.233892	1	0.1		0.977448	1			1	0.350764	3.49074	[0.36,33.85]	0.307586	1	0.1		0.959339	1			1	0.254224	4.96154	[0.51,48.26]	0.23125	1	0.1		0.977987	1			1	0.843121	1.24904	[0.13,12.06]	1	1	0.1		0.415196	1			1	0.228479	5.56667	[0.57,54.21]	0.20987	1	0.1		0.982087	1		
42	24		1	1.27434	0.771906	[0.10,5.81]	1	1	0.1		0.365931	1			1	1.33226	0.735934	[0.10,5.53]	1	1	0.1		0.360554	1			5	4.0354	1.30934	[0.48,3.55]	0.581671	1	0.1		0.592753	1			1	2.1432	0.43834	[0.06,3.28]	0.716342	1	0.1		0.532559	1			1	1.27434	0.771906	[0.10,5.81]	1	1	0.1		0.365931	1			0	0.753017	0	[0.00,0.00]	1	1	0.1		1	1			1	1.54465	0.627408	[0.08,4.71]	1	1	0.1		0.335955	1			1	2.10459	0.447262	[0.06,3.34]	0.715584	1	0.1		0.539061	1			2	1.52534	1.34829	[0.31,5.84]	0.661557	1	0.1		0.604278	1			5	5.05873	0.98505	[0.36,2.66]	1	1	0.1		0.198853	1			2	1.37088	1.51515	[0.35,6.58]	0.643396	1	0.1		0.606227	1		
43	9		0	0.477876	0	[0.00,0.00]	1	1	0.1		1	1			0	0.499598	0	[0.00,0.00]	1	1	0.1		1	1			0	1.51327	0	[0.00,0.00]	1	1	0.1		1	1			0	0.803701	0	[0.00,0.00]	1	1	0.1		1	1			0	0.477876	0	[0.00,0.00]	1	1	0.1		1	1			0	0.282381	0	[0.00,0.00]	1	1	0.1		1	1			0	0.579244	0	[0.00,0.00]	1	1	0.1		1	1			0	0.78922	0	[0.00,0.00]	1	1	0.1		1	1			1	0.572003	1.85256	[0.23,15.00]	0.447313	1	0.1		0.892618	1			2	1.89702	1.07033	[0.22,5.18]	1	1	0.1		0.30618	1			0	0.514079	0	[0.00,0.00]	1	1	0.1		1	1		
44	36		3	1.9115	1.65079	[0.49,5.53]	0.434326	1	0.1		0.744569	1			2	1.99839	1.00088	[0.24,4.26]	1	1	0.1		0.282595	1			4	6.0531	0.610976	[0.21,1.75]	0.497217	1	0.1		0.632699	1			1	3.2148	0.284935	[0.04,2.10]	0.364925	1	0.1		0.754448	1			3	1.9115	1.65079	[0.49,5.53]	0.434326	1	0.1		0.744569	1			1	1.12953	0.878947	[0.12,6.59]	1	1	0.1		0.374865	1			4	2.31698	1.8602	[0.64,5.40]	0.284988	1	0.1		0.835897	1			9	3.15688	3.69	[1.69,8.06]	0.00275241	1	0.1		0.999355	1			2	2.28801	0.863254	[0.20,3.66]	1	1	0.1		0.27631	1			7	7.58809	0.901149	[0.39,2.08]	1	1	0.1		0.163212	1			6	2.05632	3.51385	[1.41,8.74]	0.0139436	1	0.1		0.996757	1		
45	3		0	0.159292	0	[0.00,0.00]	1	1	0.1		1	1			0	0.166533	0	[0.00,0.00]	1	1	0.1		1	1			0	0.504425	0	[0.00,0.00]	1	1	0.1		1	1			0	0.2679	0	[0.00,0.00]	1	1	0.1		1	1			0	0.159292	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0941271	0	[0.00,0.00]	1	1	0.1		1	1			0	0.193081	0	[0.00,0.00]	1	1	0.1		1	1			0	0.263073	0	[0.00,0.00]	1	1	0.1		1	1			0	0.190668	0	[0.00,0.00]	1	1	0.1		1	1			0	0.632341	0	[0.00,0.00]	1	1	0.1		1	1			0	0.17136	0	[0.00,0.00]	1	1	0.1		1	1		
46	3		0	0.159292	0	[0.00,0.00]	1	1	0.1		1	1			0	0.166533	0	[0.00,0.00]	1	1	0.1		1	1			0	0.504425	0	[0.00,0.00]	1	1	0.1		1	1			0	0.2679	0	[0.00,0.00]	1	1	0.1		1	1			0	0.159292	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0941271	0	[0.00,0.00]	1	1	0.1		1	1			0	0.193081	0	[0.00,0.00]	1	1	0.1		1	1			0	0.263073	0	[0.00,0.00]	1	1	0.1		1	1			1	0.190668	7.44872	[0.67,83.05]	0.178941	1	0.1		0.988521	1			0	0.632341	0	[0.00,0.00]	1	1	0.1		1	1			1	0.17136	8.35714	[0.75,93.29]	0.161881	1	0.1		0.9907	1		
47	18		1	0.955752	1.04977	[0.14,8.01]	1	1	0.1		0.380915	1			2	0.999195	2.16045	[0.49,9.59]	0.263675	1	0.1		0.9266	1			2	3.02655	0.614734	[0.14,2.69]	0.753056	1	0.1		0.474875	1			1	1.6074	0.596257	[0.08,4.52]	1	1	0.1		0.328687	1			1	0.955752	1.04977	[0.14,8.01]	1	1	0.1		0.380915	1			0	0.564763	0	[0.00,0.00]	1	1	0.1		1	1			1	1.15849	0.853313	[0.11,6.50]	1	1	0.1		0.3762	1			0	1.57844	0	[0.00,0.00]	1	1	0.1		1	1			1	1.14401	0.865008	[0.11,6.59]	1	1	0.1		0.377004	1			2	3.79405	0.463942	[0.11,2.03]	0.393107	1	0.1		0.760411	1			0	1.02816	0	[0.00,0.00]	1	1	0.1		1	1		
48	4		0	0.212389	0	[0.00,0.00]	1	1	0.1		1	1			0	0.222043	0	[0.00,0.00]	1	1	0.1		1	1			2	0.672566	4.98551	[0.70,35.60]	0.133719	1	0.1		0.983553	1			1	0.3572	3.42121	[0.35,33.17]	0.312464	1	0.1		0.957922	1			0	0.212389	0	[0.00,0.00]	1	1	0.1		1	1			0	0.125503	0	[0.00,0.00]	1	1	0.1		1	1			0	0.257442	0	[0.00,0.00]	1	1	0.1		1	1			0	0.350764	0	[0.00,0.00]	1	1	0.1		1	1			0	0.254224	0	[0.00,0.00]	1	1	0.1		1	1			1	0.843121	1.24904	[0.13,12.06]	1	1	0.1		0.415196	1			1	0.228479	5.56667	[0.57,54.21]	0.20987	1	0.1		0.982087	1		
49	9		0	0.477876	0	[0.00,0.00]	1	1	0.1		1	1			0	0.499598	0	[0.00,0.00]	1	1	0.1		1	1			1	1.51327	0.616587	[0.08,4.96]	1	1	0.1		0.347641	1			3	0.803701	5.21296	[1.29,21.14]	0.0390761	1	0.1		0.994661	1			0	0.477876	0	[0.00,0.00]	1	1	0.1		1	1			1	0.282381	3.93421	[0.48,32.25]	0.250125	1	0.1		0.969947	1			0	0.579244	0	[0.00,0.00]	1	1	0.1		1	1			0	0.78922	0	[0.00,0.00]	1	1	0.1		1	1			0	0.572003	0	[0.00,0.00]	1	1	0.1		1	1			1	1.89702	0.465996	[0.06,3.74]	0.69382	1	0.1		0.59183	1			0	0.514079	0	[0.00,0.00]	1	1	0.1		1	1		
50	10		0	0.530973	0	[0.00,0.00]	1	1	0.1		1	1			0	0.555109	0	[0.00,0.00]	1	1	0.1		1	1			0	1.68142	0	[0.00,0.00]	1	1	0.1		1	1			0	0.893001	0	[0.00,0.00]	1	1	0.1		1	1			0	0.530973	0	[0.00,0.00]	1	1	0.1		1	1			0	0.313757	0	[0.00,0.00]	1	1	0.1		1	1			0	0.643604	0	[0.00,0.00]	1	1	0.1		1	1			0	0.876911	0	[0.00,0.00]	1	1	0.1		1	1			1	0.635559	1.6453	[0.21,13.15]	0.482696	1	0.1		0.871131	1			1	2.1078	0.413793	[0.05,3.28]	0.697914	1	0.1		0.552345	1			0	0.571199	0	[0.00,0.00]	1	1	0.1		1	1		
51	11		1	0.584071	1.79538	[0.23,14.24]	0.452638	1	0.1		0.887881	1			0	0.610619	0	[0.00,0.00]	1	1	0.1		1	1			4	1.84956	2.86272	[0.83,9.87]	0.0971796	1	0.1		0.975173	1			0	0.982301	0	[0.00,0.00]	1	1	0.1		1	1			1	0.584071	1.79538	[0.23,14.24]	0.452638	1	0.1		0.887881	1			0	0.345133	0	[0.00,0.00]	1	1	0.1		1	1			3	0.707965	5.625	[1.46,21.63]	0.0290966	1	0.1		0.996286	1			0	0.964602	0	[0.00,0.00]	1	1	0.1		1	1			0	0.699115	0	[0.00,0.00]	1	1	0.1		1	1			1	2.31858	0.372031	[0.05,2.92]	0.475072	1	0.1		0.741941	1			0	0.628319	0	[0.00,0.00]	1	1	0.1		1	1		
52	14		0	0.743363	0	[0.00,0.00]	1	1	0.1		1	1			0	0.777152	0	[0.00,0.00]	1	1	0.1		1	1			2	2.35398	0.822866	[0.18,3.70]	1	1	0.1		0.283784	1			1	1.2502	0.782517	[0.10,6.04]	1	1	0.1		0.372163	1			0	0.743363	0	[0.00,0.00]	1	1	0.1		1	1			0	0.43926	0	[0.00,0.00]	1	1	0.1		1	1			0	0.901046	0	[0.00,0.00]	1	1	0.1		1	1			0	1.22767	0	[0.00,0.00]	1	1	0.1		1	1			0	0.889783	0	[0.00,0.00]	1	1	0.1		1	1			1	2.95093	0.285293	[0.04,2.19]	0.323685	1	0.1		0.811448	1			1	0.799678	1.27363	[0.16,9.88]	0.563031	1	0.1		0.811728	1		
53	15		1	0.79646	1.27802	[0.17,9.87]	0.560958	1	0.1		0.812775	1			1	0.832663	1.21849	[0.16,9.40]	0.577545	1	0.1		0.799388	1			4	2.52212	1.81463	[0.57,5.75]	0.297779	1	0.1		0.846595	1			1	1.3395	0.725974	[0.09,5.57]	1	1	0.1		0.363057	1			1	0.79646	1.27802	[0.17,9.87]	0.560958	1	0.1		0.812775	1			0	0.470636	0	[0.00,0.00]	1	1	0.1		1	1			1	0.965406	1.03888	[0.13,8.00]	1	1	0.1		0.382777	1			2	1.31537	1.61179	[0.36,7.24]	0.384147	1	0.1		0.862338	1			4	0.953339	5.5903	[1.74,17.98]	0.0120536	1	0.1		0.998341	1			4	3.16171	1.36716	[0.43,4.33]	0.53451	1	0.1		0.665953	1			0	0.856798	0	[0.00,0.00]	1	1	0.1		1	1		
54	28		2	1.48673	1.38341	[0.32,5.96]	0.657206	1	0.1		0.604134	1			1	1.5543	0.624728	[0.08,4.67]	1	1	0.1		0.334254	1			2	4.70796	0.374582	[0.09,1.59]	0.207347	1	0.1		0.880446	1			4	2.5004	1.72586	[0.59,5.07]	0.306404	1	0.1		0.83238	1			2	1.48673	1.38341	[0.32,5.96]	0.657206	1	0.1		0.604134	1			2	0.87852	2.44906	[0.56,10.71]	0.218256	1	0.1		0.945586	1			2	1.80209	1.1213	[0.26,4.81]	0.700302	1	0.1		0.580814	1			3	2.45535	1.25547	[0.37,4.23]	0.730391	1	0.1		0.495053	1			0	1.77957	0	[0.00,0.00]	1	1	0.1		1	1			4	5.90185	0.618217	[0.21,1.80]	0.485584	1	0.1		0.652195	1			0	1.59936	0	[0.00,0.00]	1	1	0.1		1	1		
55	15		0	0.79646	0	[0.00,0.00]	1	1	0.1		1	1			1	0.832663	1.21849	[0.16,9.40]	0.577545	1	0.1		0.799388	1			2	2.52212	0.758826	[0.17,3.39]	1	1	0.1		0.272292	1			3	1.3395	2.59259	[0.72,9.33]	0.143336	1	0.1		0.962022	1			0	0.79646	0	[0.00,0.00]	1	1	0.1		1	1			0	0.470636	0	[0.00,0.00]	1	1	0.1		1	1			2	0.965406	2.26824	[0.50,10.23]	0.250714	1	0.1		0.933352	1			1	1.31537	0.740741	[0.10,5.69]	1	1	0.1		0.365488	1			1	0.953339	1.05311	[0.14,8.11]	1	1	0.1		0.382594	1			3	3.16171	0.935328	[0.26,3.34]	1	1	0.1		0.250256	1			0	0.856798	0	[0.00,0.00]	1	1	0.1		1	1		
56	21		0	1.11504	0	[0.00,0.00]	1	1	0.1		1	1			0	1.16573	0	[0.00,0.00]	1	1	0.1		1	1			3	3.53097	0.822006	[0.24,2.82]	1	1	0.1		0.231558	1			3	1.8753	1.71914	[0.50,5.93]	0.425187	1	0.1		0.751869	1			0	1.11504	0	[0.00,0.00]	1	1	0.1		1	1			0	0.65889	0	[0.00,0.00]	1	1	0.1		1	1			0	1.35157	0	[0.00,0.00]	1	1	0.1		1	1			1	1.84151	0.515741	[0.07,3.88]	1	1	0.1		0.294175	1			0	1.33467	0	[0.00,0.00]	1	1	0.1		1	1			3	4.42639	0.619691	[0.18,2.12]	0.593745	1	0.1		0.582272	1			2	1.19952	1.75896	[0.40,7.71]	0.33971	1	0.1		0.886434	1		
57	8		1	0.424779	2.57143	[0.31,21.21]	0.354507	1	0.1		0.936793	1			0	0.444087	0	[0.00,0.00]	1	1	0.1		1	1			1	1.34513	0.705357	[0.09,5.76]	1	1	0.1		0.371599	1			1	0.714401	1.46104	[0.18,11.98]	0.527895	1	0.1		0.844754	1			1	0.424779	2.57143	[0.31,21.21]	0.354507	1	0.1		0.936793	1			0	0.251006	0	[0.00,0.00]	1	1	0.1		1	1			0	0.514883	0	[0.00,0.00]	1	1	0.1		1	1			1	0.701529	1.49074	[0.18,12.23]	0.521159	1	0.1		0.849337	1			2	0.508447	5.01299	[1.00,25.25]	0.087012	1	0.1		0.989025	1			3	1.68624	2.261	[0.54,9.52]	0.376405	1	0.1		0.784307	1			0	0.456959	0	[0.00,0.00]	1	1	0.1		1	1		
58	11		0	0.584071	0	[0.00,0.00]	1	1	0.1		1	1			0	0.610619	0	[0.00,0.00]	1	1	0.1		1	1			0	1.84956	0	[0.00,0.00]	1	1	0.1		1	1			1	0.982301	1.02	[0.13,8.04]	1	1	0.1		0.387218	1			0	0.584071	0	[0.00,0.00]	1	1	0.1		1	1			2	0.345133	7.17718	[1.50,34.39]	0.0441338	1	0.1		0.996038	1			0	0.707965	0	[0.00,0.00]	1	1	0.1		1	1			1	0.964602	1.04074	[0.13,8.21]	1	1	0.1		0.38704	1			0	0.699115	0	[0.00,0.00]	1	1	0.1		1	1			1	2.31858	0.372031	[0.05,2.92]	0.475072	1	0.1		0.741941	1			0	0.628319	0	[0.00,0.00]	1	1	0.1		1	1		
59	11		1	0.584071	1.79538	[0.23,14.24]	0.452638	1	0.1		0.887881	1			1	0.610619	1.71176	[0.22,13.57]	0.467854	1	0.1		0.879138	1			1	1.84956	0.492308	[0.06,3.87]	0.702022	1	0.1		0.591657	1			0	0.982301	0	[0.00,0.00]	1	1	0.1		1	1			1	0.584071	1.79538	[0.23,14.24]	0.452638	1	0.1		0.887881	1			0	0.345133	0	[0.00,0.00]	1	1	0.1		1	1			0	0.707965	0	[0.00,0.00]	1	1	0.1		1	1			0	0.964602	0	[0.00,0.00]	1	1	0.1		1	1			1	0.699115	1.47949	[0.19,11.71]	0.51584	1	0.1		0.848748	1			2	2.31858	0.830769	[0.18,3.87]	1	1	0.1		0.29136	1			1	0.628319	1.66	[0.21,13.15]	0.477784	1	0.1		0.873207	1		
