C	Cn	synaptic_vesicle	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	postsynaptic_density	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	integral_component_of_synaptic_vesicle_m...	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	synaptic_vesicle_membrane	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	presynaptic_membrane	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	synaptic_cleft	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	dendritic_spine	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	synapse	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	postsynaptic_membrane	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	presynaptic_active_zone	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	presynaptic_active_zone_membrane	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	synaptic_membrane	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	intrinsic_component_of_synaptic_vesicle_...	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	presynapse	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	postsynapse	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	postsynaptic_density_membrane	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	postsynaptic_endosome	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	intrinsic_component_of_postsynaptic_memb...	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GABA-ergic_synapse	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	anchored_component_of_synaptic_vesicle_m...	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	integral_component_of_postsynaptic_membr...	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	postsynaptic_specialization	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	postsynaptic_specialization_membrane	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
1	9		0	0.333065	0	[0.00,0.00]	1	1	0.1		1	1			0	0.514079	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0217216	0	[0.00,0.00]	1	1	0.1		1	1			0	0.159292	0	[0.00,0.00]	1	1	0.1		1	1			0	0.13033	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0144811	0	[0.00,0.00]	1	1	0.1		1	1			0	0.282381	0	[0.00,0.00]	1	1	0.1		1	1			0	1.44087	0	[0.00,0.00]	1	1	0.1		1	1			0	0.340306	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0506838	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0217216	0	[0.00,0.00]	1	1	0.1		1	1			0	0.499598	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0579244	0	[0.00,0.00]	1	1	0.1		1	1			0	0.622687	0	[0.00,0.00]	1	1	0.1		1	1			0	0.803701	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0289622	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00724055	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0144811	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0362027	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0144811	0	[0.00,0.00]	1	1	0.1		1	1			0	0.514079	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0289622	0	[0.00,0.00]	1	1	0.1		1	1		
2	41		4	1.5173	2.98584	[1.02,8.76]	0.0457165	1	0.1		0.984653	1			2	2.34191	0.842066	[0.20,3.56]	0.581042	1	0.1		0.273561	1			0	0.0989541	0	[0.00,0.00]	1	1	0.1		1	1			3	0.725664	4.91551	[1.39,17.33]	0.0283351	1	0.1		0.99515	1			0	0.593725	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0659694	0	[0.00,0.00]	1	1	0.1		1	1			0	1.2864	0	[0.00,0.00]	1	1	0.1		1	1			10	6.56396	1.72896	[0.83,3.59]	0.083139	1	0.1		0.921162	1			2	1.55028	1.31852	[0.31,5.63]	0.466297	1	0.1		0.600032	1			0	0.230893	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0989541	0	[0.00,0.00]	1	1	0.1		1	1			3	2.27595	1.35885	[0.41,4.52]	0.3043	1	0.1		0.718789	1			1	0.263878	4.26786	[0.51,35.52]	0.209719	1	0.1		0.973786	1			6	2.83669	2.40429	[0.98,5.89]	0.0388919	1	0.1		0.980675	1			2	3.6613	0.514232	[0.12,2.16]	0.274014	1	0.1		0.16956	1			0	0.131939	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0329847	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0659694	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			1	0.164924	7.4875	[0.82,68.52]	0.144659	1	0.1		0.990029	1			0	0.0659694	0	[0.00,0.00]	1	1	0.1		1	1			2	2.34191	0.842066	[0.20,3.56]	0.581042	1	0.1		0.273561	1			0	0.131939	0	[0.00,0.00]	1	1	0.1		1	1		
3	18		0	0.66613	0	[0.00,0.00]	1	1	0.1		1	1			0	1.02816	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0434433	0	[0.00,0.00]	1	1	0.1		1	1			0	0.318584	0	[0.00,0.00]	1	1	0.1		1	1			0	0.26066	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0289622	0	[0.00,0.00]	1	1	0.1		1	1			0	0.564763	0	[0.00,0.00]	1	1	0.1		1	1			2	2.88174	0.652284	[0.15,2.86]	0.43087	1	0.1		0.241257	1			0	0.680611	0	[0.00,0.00]	1	1	0.1		1	1			0	0.101368	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0434433	0	[0.00,0.00]	1	1	0.1		1	1			0	0.999195	0	[0.00,0.00]	1	1	0.1		1	1			0	0.115849	0	[0.00,0.00]	1	1	0.1		1	1			0	1.24537	0	[0.00,0.00]	1	1	0.1		1	1			1	1.6074	0.596257	[0.08,4.52]	0.512113	1	0.1		0.328687	1			0	0.0579244	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0144811	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0289622	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0724055	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0289622	0	[0.00,0.00]	1	1	0.1		1	1			0	1.02816	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0579244	0	[0.00,0.00]	1	1	0.1		1	1		
4	4		0	0.148029	0	[0.00,0.00]	1	1	0.1		1	1			0	0.228479	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00965406	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0707965	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0579244	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00643604	0	[0.00,0.00]	1	1	0.1		1	1			0	0.125503	0	[0.00,0.00]	1	1	0.1		1	1			0	0.640386	0	[0.00,0.00]	1	1	0.1		1	1			0	0.151247	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0225261	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00965406	0	[0.00,0.00]	1	1	0.1		1	1			0	0.222043	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0257442	0	[0.00,0.00]	1	1	0.1		1	1			0	0.27675	0	[0.00,0.00]	1	1	0.1		1	1			0	0.3572	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0128721	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00321802	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00643604	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0160901	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00643604	0	[0.00,0.00]	1	1	0.1		1	1			0	0.228479	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0128721	0	[0.00,0.00]	1	1	0.1		1	1		
5	3		0	0.111022	0	[0.00,0.00]	1	1	0.1		1	1			0	0.17136	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00724055	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0530973	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0434433	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0941271	0	[0.00,0.00]	1	1	0.1		1	1			0	0.48029	0	[0.00,0.00]	1	1	0.1		1	1			0	0.113435	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0168946	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00724055	0	[0.00,0.00]	1	1	0.1		1	1			0	0.166533	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0193081	0	[0.00,0.00]	1	1	0.1		1	1			0	0.207562	0	[0.00,0.00]	1	1	0.1		1	1			0	0.2679	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00965406	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00241352	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0120676	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0.17136	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00965406	0	[0.00,0.00]	1	1	0.1		1	1		
6	9		0	0.333065	0	[0.00,0.00]	1	1	0.1		1	1			0	0.514079	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0217216	0	[0.00,0.00]	1	1	0.1		1	1			0	0.159292	0	[0.00,0.00]	1	1	0.1		1	1			0	0.13033	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0144811	0	[0.00,0.00]	1	1	0.1		1	1			0	0.282381	0	[0.00,0.00]	1	1	0.1		1	1			0	1.44087	0	[0.00,0.00]	1	1	0.1		1	1			0	0.340306	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0506838	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0217216	0	[0.00,0.00]	1	1	0.1		1	1			0	0.499598	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0579244	0	[0.00,0.00]	1	1	0.1		1	1			0	0.622687	0	[0.00,0.00]	1	1	0.1		1	1			0	0.803701	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0289622	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00724055	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0144811	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0362027	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0144811	0	[0.00,0.00]	1	1	0.1		1	1			0	0.514079	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0289622	0	[0.00,0.00]	1	1	0.1		1	1		
7	47		1	1.73934	0.556039	[0.07,4.12]	0.472644	1	0.1		0.308438	1			0	2.68463	0	[0.00,0.00]	1	1	0.1		1	1			0	0.113435	0	[0.00,0.00]	1	1	0.1		1	1			0	0.831858	0	[0.00,0.00]	1	1	0.1		1	1			0	0.680611	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0756235	0	[0.00,0.00]	1	1	0.1		1	1			3	1.47466	2.19697	[0.65,7.41]	0.124012	1	0.1		0.944072	1			7	7.52454	0.915104	[0.40,2.07]	0.513295	1	0.1		0.160676	1			3	1.77715	1.78512	[0.53,5.97]	0.32097	1	0.1		0.744792	1			0	0.264682	0	[0.00,0.00]	1	1	0.1		1	1			0	0.113435	0	[0.00,0.00]	1	1	0.1		1	1			5	2.60901	2.10565	[0.81,5.50]	0.137526	1	0.1		0.893799	1			0	0.302494	0	[0.00,0.00]	1	1	0.1		1	1			1	3.25181	0.284143	[0.04,2.09]	0.149296	1	0.1		0.117108	1			6	4.1971	1.52056	[0.63,3.67]	0.184308	1	0.1		0.816237	1			0	0.151247	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0378117	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0756235	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.189059	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0756235	0	[0.00,0.00]	1	1	0.1		1	1			0	2.68463	0	[0.00,0.00]	1	1	0.1		1	1			0	0.151247	0	[0.00,0.00]	1	1	0.1		1	1		
8	93		4	3.44167	1.18566	[0.42,3.38]	0.515103	1	0.1		0.426896	1			7	5.31215	1.38118	[0.61,3.11]	0.327552	1	0.1		0.641334	1			0	0.224457	0	[0.00,0.00]	1	1	0.1		1	1			2	1.64602	1.24176	[0.29,5.40]	0.453719	1	0.1		0.598282	1			2	1.34674	1.55769	[0.35,6.88]	0.492974	1	0.1		0.609569	1			0	0.149638	0	[0.00,0.00]	1	1	0.1		1	1			3	2.91794	1.03148	[0.31,3.42]	0.667057	1	0.1		0.236684	1			18	14.889	1.28486	[0.75,2.20]	0.232555	1	0.1		0.696006	1			1	3.51649	0.26087	[0.04,1.91]	0.119319	1	0.1		0.0952592	1			0	0.523733	0	[0.00,0.00]	1	1	0.1		1	1			0	0.224457	0	[0.00,0.00]	1	1	0.1		1	1			5	5.16251	0.964134	[0.38,2.46]	0.586006	1	0.1		0.186731	1			1	0.598552	1.77484	[0.22,14.58]	0.348775	1	0.1		0.884596	1			8	6.43443	1.29351	[0.60,2.77]	0.334932	1	0.1		0.603227	1			9	8.30491	1.10084	[0.54,2.25]	0.39515	1	0.1		0.431307	1			0	0.299276	0	[0.00,0.00]	1	1	0.1		1	1			0	0.074819	0	[0.00,0.00]	1	1	0.1		1	1			0	0.149638	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			1	0.374095	3.11413	[0.34,28.15]	0.274864	1	0.1		0.952272	1			0	0.149638	0	[0.00,0.00]	1	1	0.1		1	1			7	5.31215	1.38118	[0.61,3.11]	0.327552	1	0.1		0.641334	1			0	0.299276	0	[0.00,0.00]	1	1	0.1		1	1		
9	28		1	1.0362	0.962963	[0.13,7.25]	0.72225	1	0.1		0.378461	1			1	1.59936	0.60582	[0.08,4.52]	0.517383	1	0.1		0.328298	1			0	0.0675784	0	[0.00,0.00]	1	1	0.1		1	1			1	0.495575	2.10582	[0.27,16.23]	0.311177	1	0.1		0.914335	1			0	0.405471	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0450523	0	[0.00,0.00]	1	1	0.1		1	1			0	0.87852	0	[0.00,0.00]	1	1	0.1		1	1			3	4.4827	0.623878	[0.19,2.09]	0.320438	1	0.1		0.171759	1			0	1.05873	0	[0.00,0.00]	1	1	0.1		1	1			0	0.157683	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0675784	0	[0.00,0.00]	1	1	0.1		1	1			0	1.5543	0	[0.00,0.00]	1	1	0.1		1	1			0	0.180209	0	[0.00,0.00]	1	1	0.1		1	1			1	1.93725	0.492375	[0.07,3.67]	0.41101	1	0.1		0.279738	1			1	2.5004	0.372054	[0.05,2.76]	0.269515	1	0.1		0.198826	1			0	0.0901046	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0225261	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0450523	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.112631	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0450523	0	[0.00,0.00]	1	1	0.1		1	1			1	1.59936	0.60582	[0.08,4.52]	0.517383	1	0.1		0.328298	1			0	0.0901046	0	[0.00,0.00]	1	1	0.1		1	1		
