C	Cn	autism_spectrum_disorder	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Alzheimer's_disease	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	hypertension	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	autistic_disorder	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Huntington's_disease	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Parkinson's_disease	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	epilepsy_syndrome	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	multiple_sclerosis	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	bipolar_disorder	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	schizophrenia	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	frontotemporal_dementia	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
63	3		0	0.136151	0	[0.00,0.00]	1	1	0.1		1	1			0	0.326363	0	[0.00,0.00]	1	1	0.1		1	1			0	0.186874	0	[0.00,0.00]	1	1	0.1		1	1			0	0.134149	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0527253	0	[0.00,0.00]	1	1	0.1		1	1			0	0.140823	0	[0.00,0.00]	1	1	0.1		1	1			0	0.173526	0	[0.00,0.00]	1	1	0.1		1	1			0	0.122803	0	[0.00,0.00]	1	1	0.1		1	1			0	0.189544	0	[0.00,0.00]	1	1	0.1		1	1			1	0.438487	2.92378	[0.26,32.29]	0.319804	1	0.1		0.942214	1			0	0.0767519	0	[0.00,0.00]	1	1	0.1		1	1		
64	46		1	2.08765	0.464806	[0.06,3.39]	0.374847	1	0.1		0.258075	1			2	5.00423	0.369797	[0.09,1.53]	0.108998	1	0.1		0.0765231	1			7	2.86541	2.74556	[1.22,6.20]	0.0155284	1	0.1		0.993282	1			1	2.05695	0.472111	[0.06,3.44]	0.383054	1	0.1		0.262447	1			1	0.808454	1.2453	[0.17,9.15]	0.366247	1	0.1		0.806771	1			2	2.15929	0.92214	[0.22,3.83]	0.632497	1	0.1		0.276288	1			6	2.66073	2.47736	[1.04,5.90]	0.0319793	1	0.1		0.984638	1			3	1.88298	1.64512	[0.51,5.35]	0.318154	1	0.1		0.73783	1			1	2.90634	0.32713	[0.04,2.38]	0.202269	1	0.1		0.153363	1			11	6.72347	1.8502	[0.93,3.66]	0.0608742	1	0.1		0.944292	1			2	1.17686	1.74417	[0.42,7.28]	0.217803	1	0.1		0.887705	1		
65	190		23	8.62291	3.13799	[1.98,4.97]	8.224e-06	0.0115295	0.1	*	0.999996	1			28	20.6696	1.4412	[0.95,2.18]	0.058793	1	0.1		0.92648	1			11	11.8354	0.922016	[0.50,1.72]	0.475425	1	0.1		0.12135	1			23	8.49611	3.1932	[2.01,5.06]	6.4581e-06	0.0103472	0.1	**	0.999997	1			1	3.33927	0.286732	[0.04,2.07]	0.14556	1	0.1		0.113576	1			9	8.9188	1.00998	[0.51,2.00]	0.598788	1	0.1		0.137904	1			17	10.99	1.64262	[0.98,2.75]	0.0525737	1	0.1		0.943697	1			12	7.77753	1.61994	[0.89,2.96]	0.0841298	1	0.1		0.910996	1			16	12.0044	1.38514	[0.82,2.35]	0.13201	1	0.1		0.83233	1			35	27.7709	1.33705	[0.92,1.95]	0.0851732	1	0.1		0.88487	1			6	4.86096	1.25529	[0.54,2.89]	0.274606	1	0.1		0.660023	1		
66	56		3	2.54149	1.19347	[0.37,3.85]	0.492369	1	0.1		0.481889	1			5	6.0921	0.801126	[0.32,2.02]	0.419955	1	0.1		0.164313	1			7	3.48832	2.18001	[0.98,4.86]	0.0623527	1	0.1		0.951971	1			3	2.50412	1.21241	[0.38,3.91]	0.498416	1	0.1		0.482403	1			1	0.984205	1.01655	[0.14,7.44]	0.741714	1	0.1		0.373516	1			3	2.6287	1.1514	[0.36,3.72]	0.478398	1	0.1		0.479764	1			4	3.23915	1.25691	[0.45,3.50]	0.342799	1	0.1		0.622679	1			6	2.29232	2.87258	[1.22,6.79]	0.0184573	1	0.1		0.992714	1			4	3.53815	1.14258	[0.41,3.18]	0.500849	1	0.1		0.418849	1			10	8.18509	1.27411	[0.64,2.54]	0.263145	1	0.1		0.661722	1			1	1.4327	0.689793	[0.09,5.03]	0.577797	1	0.1		0.345659	1		
67	1		0	0.0453838	0	[0.00,0.00]	1	1	0.1		1	1			0	0.108788	0	[0.00,0.00]	1	1	0.1		1	1			1	0.0622914	0	[0.00,0.00]	0.0622914	1	0.1		1	1			0	0.0447164	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0175751	0	[0.00,0.00]	1	1	0.1		1	1			0	0.046941	0	[0.00,0.00]	1	1	0.1		1	1			0	0.057842	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0409344	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0631813	0	[0.00,0.00]	1	1	0.1		1	1			1	0.146162	0	[0.00,0.00]	0.146162	1	0.1		1	1			0	0.025584	0	[0.00,0.00]	1	1	0.1		1	1		
68	10		2	0.453838	5.30074	[1.12,25.12]	0.06383	1	0.1		0.991277	1			0	1.08788	0	[0.00,0.00]	1	1	0.1		1	1			0	0.622914	0	[0.00,0.00]	1	1	0.1		1	1			2	0.447164	5.38442	[1.14,25.52]	0.0623096	1	0.1		0.991628	1			0	0.175751	0	[0.00,0.00]	1	1	0.1		1	1			0	0.46941	0	[0.00,0.00]	1	1	0.1		1	1			1	0.57842	1.81296	[0.23,14.36]	0.338855	1	0.1		0.889624	1			0	0.409344	0	[0.00,0.00]	1	1	0.1		1	1			0	0.631813	0	[0.00,0.00]	1	1	0.1		1	1			1	1.46162	0.648543	[0.08,5.13]	0.558359	1	0.1		0.352767	1			0	0.25584	0	[0.00,0.00]	1	1	0.1		1	1		
69	3		0	0.136151	0	[0.00,0.00]	1	1	0.1		1	1			0	0.326363	0	[0.00,0.00]	1	1	0.1		1	1			0	0.186874	0	[0.00,0.00]	1	1	0.1		1	1			0	0.134149	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0527253	0	[0.00,0.00]	1	1	0.1		1	1			1	0.140823	10.1952	[0.92,112.89]	0.127968	1	0.1		0.993624	1			0	0.173526	0	[0.00,0.00]	1	1	0.1		1	1			0	0.122803	0	[0.00,0.00]	1	1	0.1		1	1			0	0.189544	0	[0.00,0.00]	1	1	0.1		1	1			0	0.438487	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0767519	0	[0.00,0.00]	1	1	0.1		1	1		
70	2		0	0.0907675	0	[0.00,0.00]	1	1	0.1		1	1			0	0.217575	0	[0.00,0.00]	1	1	0.1		1	1			0	0.124583	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0894327	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0351502	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0938821	0	[0.00,0.00]	1	1	0.1		1	1			0	0.115684	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0818687	0	[0.00,0.00]	1	1	0.1		1	1			0	0.126363	0	[0.00,0.00]	1	1	0.1		1	1			1	0.292325	5.84909	[0.37,93.63]	0.249653	1	0.1		0.978664	1			0	0.051168	0	[0.00,0.00]	1	1	0.1		1	1		
71	1		0	0.0453838	0	[0.00,0.00]	1	1	0.1		1	1			0	0.108788	0	[0.00,0.00]	1	1	0.1		1	1			1	0.0622914	0	[0.00,0.00]	0.0622914	1	0.1		1	1			0	0.0447164	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0175751	0	[0.00,0.00]	1	1	0.1		1	1			0	0.046941	0	[0.00,0.00]	1	1	0.1		1	1			0	0.057842	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0409344	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0631813	0	[0.00,0.00]	1	1	0.1		1	1			0	0.146162	0	[0.00,0.00]	1	1	0.1		1	1			0	0.025584	0	[0.00,0.00]	1	1	0.1		1	1		
72	248		10	11.2552	0.877805	[0.46,1.68]	0.422292	1	0.1		0.120866	1			52	26.9793	2.31308	[1.68,3.19]	1.06347e-06	0.00397576	0.1	**	0.999999	1			34	15.4483	2.58404	[1.76,3.79]	5.97324e-06	0.0103472	0.1	**	0.999996	1			10	11.0897	0.892252	[0.47,1.71]	0.442662	1	0.1		0.123253	1			12	4.35862	3.17227	[1.69,5.95]	0.000819165	0.459367	0.1		0.999679	1			15	11.6414	1.33058	[0.77,2.29]	0.161047	1	0.1		0.786449	1			24	14.3448	1.82097	[1.17,2.83]	0.00699974	1	0.1		0.99292	1			12	10.1517	1.20467	[0.66,2.19]	0.295224	1	0.1		0.592541	1			20	15.669	1.32343	[0.82,2.13]	0.127804	1	0.1		0.822875	1			45	36.2483	1.31665	[0.94,1.84]	0.0687686	1	0.1		0.90429	1			7	6.34483	1.11315	[0.51,2.42]	0.380604	1	0.1		0.469322	1		
73	153		6	6.94372	0.854257	[0.37,1.96]	0.452435	1	0.1		0.154688	1			18	16.6445	1.09582	[0.66,1.81]	0.388536	1	0.1		0.403301	1			16	9.53059	1.80403	[1.06,3.07]	0.0253038	1	0.1		0.975073	1			6	6.8416	0.868027	[0.38,1.99]	0.468482	1	0.1		0.15695	1			2	2.68899	0.733637	[0.18,3.01]	0.491941	1	0.1		0.249302	1			9	7.18198	1.28094	[0.64,2.55]	0.256039	1	0.1		0.673691	1			10	8.84983	1.14462	[0.60,2.20]	0.329945	1	0.1		0.522208	1			6	6.26296	0.954827	[0.42,2.19]	0.562662	1	0.1		0.165603	1			7	9.66674	0.7036	[0.33,1.52]	0.238576	1	0.1		0.0989318	1			20	22.3628	0.874636	[0.54,1.41]	0.34001	1	0.1		0.0828191	1			4	3.91435	1.02328	[0.37,2.81]	0.443414	1	0.1		0.404082	1		
74	51		2	2.31457	0.857143	[0.21,3.55]	0.58985	1	0.1		0.270998	1			4	5.54816	0.694714	[0.25,1.94]	0.334965	1	0.1		0.156265	1			2	3.17686	0.611658	[0.15,2.53]	0.375396	1	0.1		0.211911	1			2	2.28053	0.87068	[0.21,3.61]	0.599159	1	0.1		0.272284	1			0	0.896329	0	[0.00,0.00]	1	1	0.1		1	1			0	2.39399	0	[0.00,0.00]	1	1	0.1		1	1			1	2.94994	0.323166	[0.04,2.35]	0.196184	1	0.1		0.14912	1			1	2.08765	0.465683	[0.06,3.39]	0.375343	1	0.1		0.258133	1			1	3.22225	0.294064	[0.04,2.14]	0.157552	1	0.1		0.122391	1			5	7.45428	0.632169	[0.25,1.60]	0.223532	1	0.1		0.109088	1			0	1.30478	0	[0.00,0.00]	1	1	0.1		1	1		
75	14		0	0.635373	0	[0.00,0.00]	1	1	0.1		1	1			1	1.52303	0.629414	[0.08,4.82]	0.539948	1	0.1		0.341035	1			1	0.87208	1.15853	[0.15,8.89]	0.378613	1	0.1		0.784462	1			0	0.626029	0	[0.00,0.00]	1	1	0.1		1	1			2	0.246051	9.53247	[2.10,43.32]	0.0225528	1	0.1		0.998346	1			2	0.657175	3.4067	[0.76,15.32]	0.112622	1	0.1		0.974709	1			1	0.809789	1.25394	[0.16,9.62]	0.373916	1	0.1		0.807618	1			2	0.573081	3.93681	[0.87,17.72]	0.0922947	1	0.1		0.982405	1			0	0.884538	0	[0.00,0.00]	1	1	0.1		1	1			2	2.04627	0.973537	[0.22,4.36]	0.66372	1	0.1		0.292334	1			1	0.358176	2.94669	[0.38,22.72]	0.25635	1	0.1		0.951679	1		
76	3		0	0.136151	0	[0.00,0.00]	1	1	0.1		1	1			0	0.326363	0	[0.00,0.00]	1	1	0.1		1	1			0	0.186874	0	[0.00,0.00]	1	1	0.1		1	1			0	0.134149	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0527253	0	[0.00,0.00]	1	1	0.1		1	1			0	0.140823	0	[0.00,0.00]	1	1	0.1		1	1			0	0.173526	0	[0.00,0.00]	1	1	0.1		1	1			0	0.122803	0	[0.00,0.00]	1	1	0.1		1	1			1	0.189544	7.4364	[0.67,82.26]	0.166421	1	0.1		0.988563	1			0	0.438487	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0767519	0	[0.00,0.00]	1	1	0.1		1	1		
77	30		2	1.36151	1.50743	[0.36,6.37]	0.244988	1	0.1		0.846889	1			4	3.26363	1.26249	[0.44,3.63]	0.339141	1	0.1		0.63151	1			0	1.86874	0	[0.00,0.00]	1	1	0.1		1	1			2	1.34149	1.53123	[0.36,6.47]	0.242532	1	0.1		0.85165	1			0	0.527253	0	[0.00,0.00]	1	1	0.1		1	1			1	1.40823	0.698686	[0.09,5.15]	0.585201	1	0.1		0.349959	1			1	1.73526	0.559979	[0.08,4.13]	0.474951	1	0.1		0.308564	1			2	1.22803	1.68093	[0.40,7.11]	0.226992	1	0.1		0.877595	1			2	1.89544	1.05952	[0.25,4.47]	0.42047	1	0.1		0.565924	1			5	4.38487	1.16963	[0.45,3.07]	0.525654	1	0.1		0.389766	1			1	0.767519	1.31609	[0.18,9.75]	0.363458	1	0.1		0.821836	1		
78	36		2	1.63382	1.23966	[0.30,5.20]	0.455321	1	0.1		0.590716	1			2	3.91635	0.479768	[0.11,2.00]	0.232766	1	0.1		0.148256	1			3	2.24249	1.3725	[0.42,4.50]	0.305321	1	0.1		0.718815	1			2	1.60979	1.25924	[0.30,5.28]	0.458528	1	0.1		0.592301	1			0	0.632703	0	[0.00,0.00]	1	1	0.1		1	1			0	1.68988	0	[0.00,0.00]	1	1	0.1		1	1			1	2.08231	0.46332	[0.06,3.40]	0.37472	1	0.1		0.258656	1			0	1.47364	0	[0.00,0.00]	1	1	0.1		1	1			4	2.27453	1.86563	[0.66,5.31]	0.210926	1	0.1		0.832004	1			8	5.26185	1.67731	[0.76,3.70]	0.161311	1	0.1		0.844757	1			0	0.921023	0	[0.00,0.00]	1	1	0.1		1	1		
79	89		4	4.03915	0.989647	[0.36,2.72]	0.621062	1	0.1		0.201849	1			4	9.68209	0.380449	[0.14,1.04]	0.0278146	1	0.1		0.0185415	1			5	5.54394	0.894156	[0.36,2.22]	0.517577	1	0.1		0.176873	1			4	3.97976	1.00543	[0.37,2.77]	0.633054	1	0.1		0.201908	1			0	1.56418	0	[0.00,0.00]	1	1	0.1		1	1			3	4.17775	0.704047	[0.22,2.24]	0.392092	1	0.1		0.18873	1			3	5.14794	0.563162	[0.18,1.79]	0.233642	1	0.1		0.130341	1			2	3.64316	0.533535	[0.13,2.18]	0.2864	1	0.1		0.172544	1			7	5.62314	1.27248	[0.58,2.78]	0.308687	1	0.1		0.625465	1			9	13.0085	0.652431	[0.33,1.31]	0.142259	1	0.1		0.062178	1			1	2.27697	0.427831	[0.06,3.10]	0.329383	1	0.1		0.232067	1		
80	4		1	0.181535	7.04105	[0.73,67.99]	0.158024	1	0.1		0.988425	1			2	0.43515	8.22177	[1.16,58.50]	0.0563449	1	0.1		0.995294	1			2	0.249166	15.1547	[2.13,107.99]	0.0204205	1	0.1		0.999087	1			1	0.178865	7.15167	[0.74,69.06]	0.156027	1	0.1		0.988753	1			0	0.0703003	0	[0.00,0.00]	1	1	0.1		1	1			1	0.187764	6.79524	[0.70,65.61]	0.162648	1	0.1		0.987641	1			1	0.231368	5.44659	[0.56,52.55]	0.193619	1	0.1		0.981497	1			1	0.163737	7.84699	[0.81,75.81]	0.144534	1	0.1		0.990531	1			1	0.252725	4.95642	[0.51,47.80]	0.207915	1	0.1		0.978079	1			1	0.58465	1.94868	[0.20,18.76]	0.364134	1	0.1		0.89551	1			1	0.102336	12.7982	[1.32,123.98]	0.0947423	1	0.1		0.996235	1		
81	1		0	0.0453838	0	[0.00,0.00]	1	1	0.1		1	1			0	0.108788	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0622914	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0447164	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0175751	0	[0.00,0.00]	1	1	0.1		1	1			0	0.046941	0	[0.00,0.00]	1	1	0.1		1	1			0	0.057842	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0409344	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0631813	0	[0.00,0.00]	1	1	0.1		1	1			0	0.146162	0	[0.00,0.00]	1	1	0.1		1	1			0	0.025584	0	[0.00,0.00]	1	1	0.1		1	1		
82	172		11	7.80601	1.46204	[0.78,2.74]	0.168281	1	0.1		0.809423	1			12	18.7115	0.604717	[0.33,1.10]	0.0544349	1	0.1		0.0247739	1			11	10.7141	1.02967	[0.55,1.92]	0.487563	1	0.1		0.253146	1			11	7.69121	1.4862	[0.79,2.78]	0.172108	1	0.1		0.809454	1			0	3.02291	0	[0.00,0.00]	1	1	0.1		1	1			7	8.07386	0.856595	[0.40,1.85]	0.436273	1	0.1		0.142652	1			10	9.94883	1.00568	[0.52,1.93]	0.589963	1	0.1		0.131441	1			4	7.04071	0.548016	[0.20,1.49]	0.158423	1	0.1		0.0868325	1			15	10.8672	1.43987	[0.84,2.48]	0.123575	1	0.1		0.85159	1			24	25.1399	0.945305	[0.61,1.47]	0.453406	1	0.1		0.0863386	1			3	4.40044	0.667424	[0.21,2.12]	0.351471	1	0.1		0.17555	1		
83	105		4	4.76529	0.829703	[0.30,2.28]	0.47774	1	0.1		0.187685	1			10	11.4227	0.859466	[0.44,1.66]	0.399183	1	0.1		0.119582	1			2	6.5406	0.287211	[0.07,1.17]	0.0358961	1	0.1		0.0271311	1			4	4.69522	0.842941	[0.31,2.31]	0.491092	1	0.1		0.189897	1			2	1.84538	1.08763	[0.26,4.49]	0.426982	1	0.1		0.567385	1			4	4.92881	0.800306	[0.29,2.19]	0.447189	1	0.1		0.181972	1			6	6.07341	0.986877	[0.43,2.27]	0.594179	1	0.1		0.167272	1			3	4.29811	0.683945	[0.21,2.18]	0.369879	1	0.1		0.181642	1			7	6.63404	1.0606	[0.49,2.31]	0.494105	1	0.1		0.316056	1			11	15.3471	0.678216	[0.36,1.27]	0.13952	1	0.1		0.0569329	1			5	2.68632	1.94545	[0.78,4.87]	0.142744	1	0.1		0.885184	1		
84	17		1	0.771524	1.31619	[0.17,9.97]	0.367796	1	0.1		0.821177	1			2	1.84939	1.09268	[0.25,4.79]	0.427235	1	0.1		0.5796	1			1	1.05895	0.940636	[0.12,7.12]	0.713498	1	0.1		0.379088	1			1	0.760178	1.33688	[0.18,10.13]	0.366469	1	0.1		0.82528	1			0	0.298776	0	[0.00,0.00]	1	1	0.1		1	1			1	0.797998	1.27024	[0.17,9.62]	0.37059	1	0.1		0.811538	1			1	0.983315	1.0181	[0.13,7.71]	0.742247	1	0.1		0.379758	1			1	0.695884	1.46687	[0.19,11.12]	0.357407	1	0.1		0.848156	1			0	1.07408	0	[0.00,0.00]	1	1	0.1		1	1			2	2.48476	0.778219	[0.18,3.41]	0.537785	1	0.1		0.271918	1			0	0.434928	0	[0.00,0.00]	1	1	0.1		1	1		
85	1		0	0.0453838	0	[0.00,0.00]	1	1	0.1		1	1			0	0.108788	0	[0.00,0.00]	1	1	0.1		1	1			1	0.0622914	0	[0.00,0.00]	0.0622914	1	0.1		1	1			0	0.0447164	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0175751	0	[0.00,0.00]	1	1	0.1		1	1			0	0.046941	0	[0.00,0.00]	1	1	0.1		1	1			0	0.057842	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0409344	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0631813	0	[0.00,0.00]	1	1	0.1		1	1			0	0.146162	0	[0.00,0.00]	1	1	0.1		1	1			0	0.025584	0	[0.00,0.00]	1	1	0.1		1	1		
86	1		0	0.0453838	0	[0.00,0.00]	1	1	0.1		1	1			0	0.108788	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0622914	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0447164	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0175751	0	[0.00,0.00]	1	1	0.1		1	1			0	0.046941	0	[0.00,0.00]	1	1	0.1		1	1			0	0.057842	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0409344	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0631813	0	[0.00,0.00]	1	1	0.1		1	1			1	0.146162	0	[0.00,0.00]	0.146162	1	0.1		1	1			0	0.025584	0	[0.00,0.00]	1	1	0.1		1	1		
87	1		0	0.0453838	0	[0.00,0.00]	1	1	0.1		1	1			0	0.108788	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0622914	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0447164	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0175751	0	[0.00,0.00]	1	1	0.1		1	1			0	0.046941	0	[0.00,0.00]	1	1	0.1		1	1			0	0.057842	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0409344	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0631813	0	[0.00,0.00]	1	1	0.1		1	1			0	0.146162	0	[0.00,0.00]	1	1	0.1		1	1			0	0.025584	0	[0.00,0.00]	1	1	0.1		1	1		
88	1		0	0.0453838	0	[0.00,0.00]	1	1	0.1		1	1			0	0.108788	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0622914	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0447164	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0175751	0	[0.00,0.00]	1	1	0.1		1	1			0	0.046941	0	[0.00,0.00]	1	1	0.1		1	1			0	0.057842	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0409344	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0631813	0	[0.00,0.00]	1	1	0.1		1	1			0	0.146162	0	[0.00,0.00]	1	1	0.1		1	1			0	0.025584	0	[0.00,0.00]	1	1	0.1		1	1		
89	7		3	0.317686	15.9963	[3.56,71.95]	0.00268593	1	0.1		0.999871	1			3	0.761513	6.17593	[1.38,27.68]	0.0283427	1	0.1		0.996299	1			0	0.43604	0	[0.00,0.00]	1	1	0.1		1	1			3	0.313014	16.25	[3.61,73.10]	0.00257579	1	0.1		0.999878	1			0	0.123026	0	[0.00,0.00]	1	1	0.1		1	1			0	0.328587	0	[0.00,0.00]	1	1	0.1		1	1			2	0.404894	6.55814	[1.27,33.97]	0.0520782	1	0.1		0.994374	1			3	0.286541	17.8467	[3.96,80.33]	0.00200465	0.977525	0.1		0.999914	1			3	0.442269	11.2286	[2.50,50.42]	0.00674941	1	0.1		0.999531	1			6	1.02314	35.3641	[4.25,294.23]	5.72235e-05	0.0534824	0.1		0.999999	1			0	0.179088	0	[0.00,0.00]	1	1	0.1		1	1		
90	1		0	0.0453838	0	[0.00,0.00]	1	1	0.1		1	1			0	0.108788	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0622914	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0447164	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0175751	0	[0.00,0.00]	1	1	0.1		1	1			0	0.046941	0	[0.00,0.00]	1	1	0.1		1	1			0	0.057842	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0409344	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0631813	0	[0.00,0.00]	1	1	0.1		1	1			0	0.146162	0	[0.00,0.00]	1	1	0.1		1	1			0	0.025584	0	[0.00,0.00]	1	1	0.1		1	1		
91	1		0	0.0453838	0	[0.00,0.00]	1	1	0.1		1	1			0	0.108788	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0622914	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0447164	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0175751	0	[0.00,0.00]	1	1	0.1		1	1			0	0.046941	0	[0.00,0.00]	1	1	0.1		1	1			0	0.057842	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0409344	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0631813	0	[0.00,0.00]	1	1	0.1		1	1			0	0.146162	0	[0.00,0.00]	1	1	0.1		1	1			0	0.025584	0	[0.00,0.00]	1	1	0.1		1	1		
92	1		0	0.0453838	0	[0.00,0.00]	1	1	0.1		1	1			0	0.108788	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0622914	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0447164	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0175751	0	[0.00,0.00]	1	1	0.1		1	1			0	0.046941	0	[0.00,0.00]	1	1	0.1		1	1			0	0.057842	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0409344	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0631813	0	[0.00,0.00]	1	1	0.1		1	1			1	0.146162	0	[0.00,0.00]	0.146162	1	0.1		1	1			0	0.025584	0	[0.00,0.00]	1	1	0.1		1	1		
93	1		0	0.0453838	0	[0.00,0.00]	1	1	0.1		1	1			0	0.108788	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0622914	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0447164	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0175751	0	[0.00,0.00]	1	1	0.1		1	1			0	0.046941	0	[0.00,0.00]	1	1	0.1		1	1			0	0.057842	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0409344	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0631813	0	[0.00,0.00]	1	1	0.1		1	1			0	0.146162	0	[0.00,0.00]	1	1	0.1		1	1			0	0.025584	0	[0.00,0.00]	1	1	0.1		1	1		
94	1		0	0.0453838	0	[0.00,0.00]	1	1	0.1		1	1			0	0.108788	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0622914	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0447164	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0175751	0	[0.00,0.00]	1	1	0.1		1	1			0	0.046941	0	[0.00,0.00]	1	1	0.1		1	1			0	0.057842	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0409344	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0631813	0	[0.00,0.00]	1	1	0.1		1	1			0	0.146162	0	[0.00,0.00]	1	1	0.1		1	1			0	0.025584	0	[0.00,0.00]	1	1	0.1		1	1		
