C	Cn	autism_spectrum_disorder	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Alzheimer's_disease	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	hypertension	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	autistic_disorder	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Huntington's_disease	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Parkinson's_disease	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	epilepsy_syndrome	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	multiple_sclerosis	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	bipolar_disorder	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	schizophrenia	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	frontotemporal_dementia	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
95	1		0	0.0453838	0	[0.00,0.00]	1	1	0.1		1	1			0	0.108788	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0622914	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0447164	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0175751	0	[0.00,0.00]	1	1	0.1		1	1			0	0.046941	0	[0.00,0.00]	1	1	0.1		1	1			0	0.057842	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0409344	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0631813	0	[0.00,0.00]	1	1	0.1		1	1			0	0.146162	0	[0.00,0.00]	1	1	0.1		1	1			0	0.025584	0	[0.00,0.00]	1	1	0.1		1	1		
96	1		0	0.0453838	0	[0.00,0.00]	1	1	0.1		1	1			0	0.108788	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0622914	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0447164	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0175751	0	[0.00,0.00]	1	1	0.1		1	1			1	0.046941	0	[0.00,0.00]	0.046941	1	0.1		1	1			0	0.057842	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0409344	0	[0.00,0.00]	1	1	0.1		1	1			1	0.0631813	0	[0.00,0.00]	0.0631813	1	0.1		1	1			0	0.146162	0	[0.00,0.00]	1	1	0.1		1	1			0	0.025584	0	[0.00,0.00]	1	1	0.1		1	1		
97	1		0	0.0453838	0	[0.00,0.00]	1	1	0.1		1	1			1	0.108788	0	[0.00,0.00]	0.108788	1	0.1		1	1			0	0.0622914	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0447164	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0175751	0	[0.00,0.00]	1	1	0.1		1	1			0	0.046941	0	[0.00,0.00]	1	1	0.1		1	1			0	0.057842	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0409344	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0631813	0	[0.00,0.00]	1	1	0.1		1	1			0	0.146162	0	[0.00,0.00]	1	1	0.1		1	1			0	0.025584	0	[0.00,0.00]	1	1	0.1		1	1		
98	1		0	0.0453838	0	[0.00,0.00]	1	1	0.1		1	1			0	0.108788	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0622914	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0447164	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0175751	0	[0.00,0.00]	1	1	0.1		1	1			0	0.046941	0	[0.00,0.00]	1	1	0.1		1	1			0	0.057842	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0409344	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0631813	0	[0.00,0.00]	1	1	0.1		1	1			0	0.146162	0	[0.00,0.00]	1	1	0.1		1	1			0	0.025584	0	[0.00,0.00]	1	1	0.1		1	1		
99	1		0	0.0453838	0	[0.00,0.00]	1	1	0.1		1	1			0	0.108788	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0622914	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0447164	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0175751	0	[0.00,0.00]	1	1	0.1		1	1			0	0.046941	0	[0.00,0.00]	1	1	0.1		1	1			0	0.057842	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0409344	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0631813	0	[0.00,0.00]	1	1	0.1		1	1			0	0.146162	0	[0.00,0.00]	1	1	0.1		1	1			0	0.025584	0	[0.00,0.00]	1	1	0.1		1	1		
100	1		0	0.0453838	0	[0.00,0.00]	1	1	0.1		1	1			0	0.108788	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0622914	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0447164	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0175751	0	[0.00,0.00]	1	1	0.1		1	1			0	0.046941	0	[0.00,0.00]	1	1	0.1		1	1			0	0.057842	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0409344	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0631813	0	[0.00,0.00]	1	1	0.1		1	1			0	0.146162	0	[0.00,0.00]	1	1	0.1		1	1			0	0.025584	0	[0.00,0.00]	1	1	0.1		1	1		
101	18		1	0.816908	1.23848	[0.16,9.35]	0.371777	1	0.1		0.804504	1			3	1.95818	1.64239	[0.47,5.69]	0.312289	1	0.1		0.750805	1			0	1.12125	0	[0.00,0.00]	1	1	0.1		1	1			1	0.804894	1.25794	[0.17,9.50]	0.370696	1	0.1		0.808912	1			0	0.316352	0	[0.00,0.00]	1	1	0.1		1	1			1	0.844939	1.19524	[0.16,9.02]	0.373988	1	0.1		0.794159	1			1	1.04116	0.957983	[0.13,7.23]	0.720282	1	0.1		0.37884	1			1	0.736819	1.38026	[0.18,10.43]	0.362966	1	0.1		0.83355	1			1	1.13726	0.871752	[0.12,6.57]	0.683809	1	0.1		0.375632	1			0	2.63092	0	[0.00,0.00]	1	1	0.1		1	1			2	0.460512	4.82743	[1.10,21.25]	0.0660138	1	0.1		0.989943	1		
102	1		0	0.0453838	0	[0.00,0.00]	1	1	0.1		1	1			0	0.108788	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0622914	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0447164	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0175751	0	[0.00,0.00]	1	1	0.1		1	1			0	0.046941	0	[0.00,0.00]	1	1	0.1		1	1			0	0.057842	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0409344	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0631813	0	[0.00,0.00]	1	1	0.1		1	1			0	0.146162	0	[0.00,0.00]	1	1	0.1		1	1			0	0.025584	0	[0.00,0.00]	1	1	0.1		1	1		
103	1		0	0.0453838	0	[0.00,0.00]	1	1	0.1		1	1			0	0.108788	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0622914	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0447164	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0175751	0	[0.00,0.00]	1	1	0.1		1	1			0	0.046941	0	[0.00,0.00]	1	1	0.1		1	1			0	0.057842	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0409344	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0631813	0	[0.00,0.00]	1	1	0.1		1	1			0	0.146162	0	[0.00,0.00]	1	1	0.1		1	1			0	0.025584	0	[0.00,0.00]	1	1	0.1		1	1		
104	1		0	0.0453838	0	[0.00,0.00]	1	1	0.1		1	1			0	0.108788	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0622914	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0447164	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0175751	0	[0.00,0.00]	1	1	0.1		1	1			0	0.046941	0	[0.00,0.00]	1	1	0.1		1	1			0	0.057842	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0409344	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0631813	0	[0.00,0.00]	1	1	0.1		1	1			0	0.146162	0	[0.00,0.00]	1	1	0.1		1	1			0	0.025584	0	[0.00,0.00]	1	1	0.1		1	1		
105	98		3	4.44761	0.65923	[0.21,2.10]	0.342727	1	0.1		0.172768	1			11	10.6612	1.03662	[0.55,1.95]	0.49255	1	0.1		0.257588	1			2	6.10456	0.308678	[0.08,1.26]	0.0503843	1	0.1		0.0373194	1			3	4.3822	0.669697	[0.21,2.13]	0.35437	1	0.1		0.176693	1			0	1.72236	0	[0.00,0.00]	1	1	0.1		1	1			2	4.60022	0.417464	[0.10,1.71]	0.153046	1	0.1		0.102409	1			5	5.66852	0.873287	[0.35,2.17]	0.495752	1	0.1		0.173983	1			3	4.01157	0.735563	[0.23,2.34]	0.424958	1	0.1		0.197837	1			5	6.19177	0.793541	[0.32,1.97]	0.407334	1	0.1		0.159068	1			12	14.3239	0.811682	[0.44,1.49]	0.307526	1	0.1		0.0972821	1			0	2.50723	0	[0.00,0.00]	1	1	0.1		1	1		
106	2		0	0.0907675	0	[0.00,0.00]	1	1	0.1		1	1			1	0.217575	8.20697	[0.51,131.42]	0.193949	1	0.1		0.988187	1			1	0.124583	15.1039	[0.94,242.13]	0.116848	1	0.1		0.996133	1			0	0.0894327	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0351502	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0938821	0	[0.00,0.00]	1	1	0.1		1	1			0	0.115684	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0818687	0	[0.00,0.00]	1	1	0.1		1	1			0	0.126363	0	[0.00,0.00]	1	1	0.1		1	1			0	0.292325	0	[0.00,0.00]	1	1	0.1		1	1			0	0.051168	0	[0.00,0.00]	1	1	0.1		1	1		
107	41		1	1.86073	0.523522	[0.07,3.83]	0.438115	1	0.1		0.290479	1			0	4.46029	0	[0.00,0.00]	1	1	0.1		1	1			1	2.55395	0.374104	[0.05,2.73]	0.265145	1	0.1		0.194434	1			1	1.83337	0.53175	[0.07,3.89]	0.446307	1	0.1		0.294359	1			0	0.720578	0	[0.00,0.00]	1	1	0.1		1	1			1	1.92458	0.505238	[0.07,3.69]	0.419402	1	0.1		0.281368	1			1	2.37152	0.404923	[0.06,2.96]	0.304312	1	0.1		0.218375	1			0	1.67831	0	[0.00,0.00]	1	1	0.1		1	1			1	2.59043	0.368463	[0.05,2.69]	0.257828	1	0.1		0.189829	1			3	5.99266	0.458716	[0.14,1.49]	0.130198	1	0.1		0.0816949	1			1	1.04894	0.951754	[0.13,6.98]	0.717508	1	0.1		0.373611	1		
108	1		0	0.0453838	0	[0.00,0.00]	1	1	0.1		1	1			0	0.108788	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0622914	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0447164	0	[0.00,0.00]	1	1	0.1		1	1			1	0.0175751	0	[0.00,0.00]	0.0175751	1	0.1		1	1			0	0.046941	0	[0.00,0.00]	1	1	0.1		1	1			1	0.057842	0	[0.00,0.00]	0.057842	1	0.1		1	1			0	0.0409344	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0631813	0	[0.00,0.00]	1	1	0.1		1	1			0	0.146162	0	[0.00,0.00]	1	1	0.1		1	1			0	0.025584	0	[0.00,0.00]	1	1	0.1		1	1		
109	2		0	0.0907675	0	[0.00,0.00]	1	1	0.1		1	1			0	0.217575	0	[0.00,0.00]	1	1	0.1		1	1			0	0.124583	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0894327	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0351502	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0938821	0	[0.00,0.00]	1	1	0.1		1	1			0	0.115684	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0818687	0	[0.00,0.00]	1	1	0.1		1	1			0	0.126363	0	[0.00,0.00]	1	1	0.1		1	1			1	0.292325	5.84909	[0.37,93.63]	0.249653	1	0.1		0.978664	1			0	0.051168	0	[0.00,0.00]	1	1	0.1		1	1		
110	53		2	2.40534	0.823141	[0.20,3.41]	0.5653	1	0.1		0.266866	1			4	5.76574	0.666021	[0.24,1.85]	0.301448	1	0.1		0.145317	1			3	3.30145	0.902166	[0.28,2.91]	0.577591	1	0.1		0.228378	1			2	2.36997	0.836141	[0.20,3.46]	0.574851	1	0.1		0.268512	1			0	0.931479	0	[0.00,0.00]	1	1	0.1		1	1			3	2.48788	1.22135	[0.38,3.95]	0.500994	1	0.1		0.482963	1			3	3.06563	0.977043	[0.30,3.15]	0.632144	1	0.1		0.23181	1			0	2.16952	0	[0.00,0.00]	1	1	0.1		1	1			1	3.34861	0.282618	[0.04,2.05]	0.142316	1	0.1		0.111506	1			3	7.74661	0.347523	[0.11,1.12]	0.0379242	1	0.1		0.0266334	1			0	1.35595	0	[0.00,0.00]	1	1	0.1		1	1		
111	37		0	1.6792	0	[0.00,0.00]	1	1	0.1		1	1			5	4.02514	1.28293	[0.50,3.31]	0.383829	1	0.1		0.574604	1			1	2.30478	0.416069	[0.06,3.05]	0.318915	1	0.1		0.227248	1			0	1.65451	0	[0.00,0.00]	1	1	0.1		1	1			1	0.650278	1.55983	[0.21,11.52]	0.345361	1	0.1		0.862872	1			2	1.73682	1.16172	[0.28,4.86]	0.441588	1	0.1		0.581994	1			0	2.14016	0	[0.00,0.00]	1	1	0.1		1	1			1	1.51457	0.648907	[0.09,4.76]	0.548716	1	0.1		0.337062	1			1	2.33771	0.409796	[0.06,3.00]	0.311207	1	0.1		0.222718	1			1	5.40801	0.160993	[0.02,1.18]	0.020829	1	0.1		0.0180119	1			2	0.946607	2.19722	[0.52,9.25]	0.176621	1	0.1		0.932413	1		
112	72		4	3.26763	1.24206	[0.45,3.44]	0.340906	1	0.1		0.618916	1			3	7.8327	0.35221	[0.11,1.12]	0.0380482	1	0.1		0.0265333	1			1	4.48498	0.209198	[0.03,1.51]	0.0550248	1	0.1		0.0456427	1			4	3.21958	1.26187	[0.46,3.49]	0.344783	1	0.1		0.621663	1			2	1.26541	1.61262	[0.39,6.70]	0.230299	1	0.1		0.867872	1			4	3.37976	1.19807	[0.43,3.32]	0.332084	1	0.1		0.611303	1			0	4.16463	0	[0.00,0.00]	1	1	0.1		1	1			3	2.94727	1.01898	[0.32,3.27]	0.659503	1	0.1		0.23062	1			4	4.54905	0.870378	[0.32,2.40]	0.51868	1	0.1		0.195036	1			8	10.5237	0.726888	[0.35,1.52]	0.254927	1	0.1		0.101173	1			0	1.84205	0	[0.00,0.00]	1	1	0.1		1	1		
113	3		0	0.136151	0	[0.00,0.00]	1	1	0.1		1	1			0	0.326363	0	[0.00,0.00]	1	1	0.1		1	1			0	0.186874	0	[0.00,0.00]	1	1	0.1		1	1			0	0.134149	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0527253	0	[0.00,0.00]	1	1	0.1		1	1			1	0.140823	10.1952	[0.92,112.89]	0.127968	1	0.1		0.993624	1			0	0.173526	0	[0.00,0.00]	1	1	0.1		1	1			0	0.122803	0	[0.00,0.00]	1	1	0.1		1	1			1	0.189544	7.4364	[0.67,82.26]	0.166421	1	0.1		0.988563	1			1	0.438487	2.92378	[0.26,32.29]	0.319804	1	0.1		0.942214	1			0	0.0767519	0	[0.00,0.00]	1	1	0.1		1	1		
114	5		0	0.226919	0	[0.00,0.00]	1	1	0.1		1	1			0	0.543938	0	[0.00,0.00]	1	1	0.1		1	1			1	0.311457	3.7733	[0.42,33.87]	0.241001	1	0.1		0.965896	1			0	0.223582	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0878754	0	[0.00,0.00]	1	1	0.1		1	1			0	0.234705	0	[0.00,0.00]	1	1	0.1		1	1			0	0.28921	0	[0.00,0.00]	1	1	0.1		1	1			0	0.204672	0	[0.00,0.00]	1	1	0.1		1	1			1	0.315907	3.71643	[0.41,33.36]	0.243516	1	0.1		0.964977	1			0	0.730812	0	[0.00,0.00]	1	1	0.1		1	1			0	0.12792	0	[0.00,0.00]	1	1	0.1		1	1		
115	2		0	0.0907675	0	[0.00,0.00]	1	1	0.1		1	1			0	0.217575	0	[0.00,0.00]	1	1	0.1		1	1			0	0.124583	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0894327	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0351502	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0938821	0	[0.00,0.00]	1	1	0.1		1	1			0	0.115684	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0818687	0	[0.00,0.00]	1	1	0.1		1	1			0	0.126363	0	[0.00,0.00]	1	1	0.1		1	1			0	0.292325	0	[0.00,0.00]	1	1	0.1		1	1			0	0.051168	0	[0.00,0.00]	1	1	0.1		1	1		
116	7		0	0.317686	0	[0.00,0.00]	1	1	0.1		1	1			1	0.761513	1.36612	[0.16,11.37]	0.381916	1	0.1		0.82821	1			1	0.43604	2.51434	[0.30,20.96]	0.296768	1	0.1		0.934063	1			0	0.313014	0	[0.00,0.00]	1	1	0.1		1	1			0	0.123026	0	[0.00,0.00]	1	1	0.1		1	1			0	0.328587	0	[0.00,0.00]	1	1	0.1		1	1			1	0.404894	2.72136	[0.33,22.69]	0.283514	1	0.1		0.942296	1			0	0.286541	0	[0.00,0.00]	1	1	0.1		1	1			0	0.442269	0	[0.00,0.00]	1	1	0.1		1	1			2	1.02314	2.34076	[0.45,12.09]	0.203706	1	0.1		0.931038	1			0	0.179088	0	[0.00,0.00]	1	1	0.1		1	1		
117	5		1	0.226919	5.27956	[0.59,47.45]	0.188601	1	0.1		0.981282	1			1	0.543938	2.0502	[0.23,18.38]	0.343392	1	0.1		0.905459	1			0	0.311457	0	[0.00,0.00]	1	1	0.1		1	1			1	0.223582	5.3625	[0.60,48.20]	0.186348	1	0.1		0.981805	1			0	0.0878754	0	[0.00,0.00]	1	1	0.1		1	1			0	0.234705	0	[0.00,0.00]	1	1	0.1		1	1			0	0.28921	0	[0.00,0.00]	1	1	0.1		1	1			0	0.204672	0	[0.00,0.00]	1	1	0.1		1	1			1	0.315907	3.71643	[0.41,33.36]	0.243516	1	0.1		0.964977	1			1	0.730812	1.46113	[0.16,13.09]	0.388682	1	0.1		0.842321	1			0	0.12792	0	[0.00,0.00]	1	1	0.1		1	1		
118	4		0	0.181535	0	[0.00,0.00]	1	1	0.1		1	1			0	0.43515	0	[0.00,0.00]	1	1	0.1		1	1			0	0.249166	0	[0.00,0.00]	1	1	0.1		1	1			0	0.178865	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0703003	0	[0.00,0.00]	1	1	0.1		1	1			0	0.187764	0	[0.00,0.00]	1	1	0.1		1	1			1	0.231368	5.44659	[0.56,52.55]	0.193619	1	0.1		0.981497	1			0	0.163737	0	[0.00,0.00]	1	1	0.1		1	1			0	0.252725	0	[0.00,0.00]	1	1	0.1		1	1			0	0.58465	0	[0.00,0.00]	1	1	0.1		1	1			0	0.102336	0	[0.00,0.00]	1	1	0.1		1	1		
119	2		0	0.0907675	0	[0.00,0.00]	1	1	0.1		1	1			0	0.217575	0	[0.00,0.00]	1	1	0.1		1	1			0	0.124583	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0894327	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0351502	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0938821	0	[0.00,0.00]	1	1	0.1		1	1			0	0.115684	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0818687	0	[0.00,0.00]	1	1	0.1		1	1			0	0.126363	0	[0.00,0.00]	1	1	0.1		1	1			0	0.292325	0	[0.00,0.00]	1	1	0.1		1	1			0	0.051168	0	[0.00,0.00]	1	1	0.1		1	1		
120	2		0	0.0907675	0	[0.00,0.00]	1	1	0.1		1	1			0	0.217575	0	[0.00,0.00]	1	1	0.1		1	1			0	0.124583	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0894327	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0351502	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0938821	0	[0.00,0.00]	1	1	0.1		1	1			0	0.115684	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0818687	0	[0.00,0.00]	1	1	0.1		1	1			0	0.126363	0	[0.00,0.00]	1	1	0.1		1	1			0	0.292325	0	[0.00,0.00]	1	1	0.1		1	1			1	0.051168	38.4123	[2.39,617.99]	0.04987	1	0.1		0.999351	1		
121	2		0	0.0907675	0	[0.00,0.00]	1	1	0.1		1	1			0	0.217575	0	[0.00,0.00]	1	1	0.1		1	1			0	0.124583	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0894327	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0351502	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0938821	0	[0.00,0.00]	1	1	0.1		1	1			0	0.115684	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0818687	0	[0.00,0.00]	1	1	0.1		1	1			1	0.126363	14.8763	[0.93,238.47]	0.118405	1	0.1		0.996021	1			0	0.292325	0	[0.00,0.00]	1	1	0.1		1	1			1	0.051168	38.4123	[2.39,617.99]	0.04987	1	0.1		0.999351	1		
122	2		0	0.0907675	0	[0.00,0.00]	1	1	0.1		1	1			0	0.217575	0	[0.00,0.00]	1	1	0.1		1	1			1	0.124583	15.1039	[0.94,242.13]	0.116848	1	0.1		0.996133	1			0	0.0894327	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0351502	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0938821	0	[0.00,0.00]	1	1	0.1		1	1			0	0.115684	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0818687	0	[0.00,0.00]	1	1	0.1		1	1			0	0.126363	0	[0.00,0.00]	1	1	0.1		1	1			0	0.292325	0	[0.00,0.00]	1	1	0.1		1	1			0	0.051168	0	[0.00,0.00]	1	1	0.1		1	1		
123	2		0	0.0907675	0	[0.00,0.00]	1	1	0.1		1	1			1	0.217575	8.20697	[0.51,131.42]	0.193949	1	0.1		0.988187	1			0	0.124583	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0894327	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0351502	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0938821	0	[0.00,0.00]	1	1	0.1		1	1			0	0.115684	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0818687	0	[0.00,0.00]	1	1	0.1		1	1			0	0.126363	0	[0.00,0.00]	1	1	0.1		1	1			0	0.292325	0	[0.00,0.00]	1	1	0.1		1	1			1	0.051168	38.4123	[2.39,617.99]	0.04987	1	0.1		0.999351	1		
124	342		11	15.5212	0.681872	[0.37,1.26]	0.136556	1	0.1		0.054903	1			23	37.2053	0.570459	[0.37,0.88]	0.00463565	1	0.1		0.00213961	1			13	21.3037	0.575094	[0.33,1.01]	0.0288004	1	0.1		0.0136568	1			11	15.293	0.693163	[0.37,1.29]	0.149899	1	0.1		0.0590949	1			3	6.01068	0.474732	[0.15,1.51]	0.137551	1	0.1		0.0842849	1			11	16.0538	0.656843	[0.35,1.22]	0.109047	1	0.1		0.0457689	1			19	19.782	0.954845	[0.59,1.54]	0.484971	1	0.1		0.0956631	1			7	13.9996	0.469382	[0.22,1.01]	0.024817	1	0.1		0.0143584	1			12	21.608	0.51885	[0.29,0.94]	0.0128331	1	0.1		0.00669688	1			41	49.9875	0.782117	[0.56,1.10]	0.0859027	1	0.1		0.0233712	1			9	8.74972	1.03187	[0.52,2.06]	0.481158	1	0.1		0.279688	1		
125	3		0	0.136151	0	[0.00,0.00]	1	1	0.1		1	1			0	0.326363	0	[0.00,0.00]	1	1	0.1		1	1			0	0.186874	0	[0.00,0.00]	1	1	0.1		1	1			0	0.134149	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0527253	0	[0.00,0.00]	1	1	0.1		1	1			0	0.140823	0	[0.00,0.00]	1	1	0.1		1	1			0	0.173526	0	[0.00,0.00]	1	1	0.1		1	1			0	0.122803	0	[0.00,0.00]	1	1	0.1		1	1			0	0.189544	0	[0.00,0.00]	1	1	0.1		1	1			0	0.438487	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0767519	0	[0.00,0.00]	1	1	0.1		1	1		
126	3		0	0.136151	0	[0.00,0.00]	1	1	0.1		1	1			0	0.326363	0	[0.00,0.00]	1	1	0.1		1	1			0	0.186874	0	[0.00,0.00]	1	1	0.1		1	1			0	0.134149	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0527253	0	[0.00,0.00]	1	1	0.1		1	1			0	0.140823	0	[0.00,0.00]	1	1	0.1		1	1			0	0.173526	0	[0.00,0.00]	1	1	0.1		1	1			0	0.122803	0	[0.00,0.00]	1	1	0.1		1	1			0	0.189544	0	[0.00,0.00]	1	1	0.1		1	1			0	0.438487	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0767519	0	[0.00,0.00]	1	1	0.1		1	1		
127	63		7	2.85918	2.68718	[1.21,5.97]	0.0158307	1	0.1		0.992929	1			5	6.85362	0.703192	[0.28,1.76]	0.303825	1	0.1		0.134676	1			1	3.92436	0.240086	[0.03,1.74]	0.0886289	1	0.1		0.0717393	1			7	2.81713	2.73067	[1.23,6.07]	0.0148213	1	0.1		0.993522	1			2	1.10723	1.85438	[0.45,7.72]	0.206063	1	0.1		0.901876	1			0	2.95729	0	[0.00,0.00]	1	1	0.1		1	1			5	3.64405	1.4121	[0.56,3.55]	0.256803	1	0.1		0.732835	1			2	2.57887	0.765628	[0.19,3.16]	0.51972	1	0.1		0.256808	1			6	3.98042	1.57289	[0.67,3.68]	0.18948	1	0.1		0.815235	1			9	9.20823	0.973251	[0.48,1.98]	0.557951	1	0.1		0.142867	1			1	1.61179	0.610922	[0.08,4.44]	0.517231	1	0.1		0.32408	1		
128	33		1	1.49766	0.655634	[0.09,4.82]	0.55417	1	0.1		0.33943	1			6	3.58999	1.83069	[0.75,4.46]	0.103876	1	0.1		0.917593	1			0	2.05562	0	[0.00,0.00]	1	1	0.1		1	1			1	1.47564	0.665937	[0.09,4.90]	0.5618	1	0.1		0.34203	1			0	0.579978	0	[0.00,0.00]	1	1	0.1		1	1			1	1.54905	0.632738	[0.09,4.65]	0.536578	1	0.1		0.333143	1			0	1.90879	0	[0.00,0.00]	1	1	0.1		1	1			0	1.35083	0	[0.00,0.00]	1	1	0.1		1	1			3	2.08498	1.4879	[0.45,4.91]	0.310055	1	0.1		0.732798	1			3	4.82336	0.582263	[0.18,1.91]	0.268114	1	0.1		0.148745	1			0	0.844271	0	[0.00,0.00]	1	1	0.1		1	1		
129	2		0	0.0907675	0	[0.00,0.00]	1	1	0.1		1	1			0	0.217575	0	[0.00,0.00]	1	1	0.1		1	1			0	0.124583	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0894327	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0351502	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0938821	0	[0.00,0.00]	1	1	0.1		1	1			0	0.115684	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0818687	0	[0.00,0.00]	1	1	0.1		1	1			0	0.126363	0	[0.00,0.00]	1	1	0.1		1	1			0	0.292325	0	[0.00,0.00]	1	1	0.1		1	1			0	0.051168	0	[0.00,0.00]	1	1	0.1		1	1		
130	1		0	0.0453838	0	[0.00,0.00]	1	1	0.1		1	1			0	0.108788	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0622914	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0447164	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0175751	0	[0.00,0.00]	1	1	0.1		1	1			0	0.046941	0	[0.00,0.00]	1	1	0.1		1	1			0	0.057842	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0409344	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0631813	0	[0.00,0.00]	1	1	0.1		1	1			0	0.146162	0	[0.00,0.00]	1	1	0.1		1	1			0	0.025584	0	[0.00,0.00]	1	1	0.1		1	1		
